id,title,link,description,pubdate,location
xfWHhGjq,Senior Business Systems Analyst,https://mx.indeed.com/rc/clk?jk=849454c9661f6be3&fccid=6b7a1dfe07e7f037&vjs=3,Provides expertise and system support in developing and enhancing business systems to provide new or…,2023-05-06,Remoto
kiG1f1tb,"Sr. Analyst, SIEM, Cybersecurity Operations Infrastructure",https://mx.indeed.com/rc/clk?jk=04323eea5ad3d2c0&fccid=dd09fe3b43125016&vjs=3,The Dell Security &amp; Resiliency Organization (SRO) manages the security and resiliency risk across all aspects of Dell’s business.,2023-05-06,Remoto
78odYTaD,Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=7d68f7b742b2dc81&fccid=e77073f1483d3849&vjs=3,"Experiencia en Azure SQL Conocimiento avanzado en SQL (data transformation, data structures, metadata, Dependency and workload management).",2023-05-06,"Remoto in Hermosillo, Son."
b1AzKdNd,Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=872ff595cf4980ad&fccid=e77073f1483d3849&vjs=3,"Experiencia en Azure SQL Conocimiento avanzado en SQL (data transformation, data structures, metadata, Dependency and workload management).",2023-05-06,"Remoto in Aguascalientes, Ags."
pZa0keiR,Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=303da20f1f83d5e8&fccid=e77073f1483d3849&vjs=3,"Experiencia en Azure SQL Conocimiento avanzado en SQL (data transformation, data structures, metadata, Dependency and workload management).",2023-05-06,"Remoto in Tijuana, B.C."
e0yExGkU,Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=3e32469f2d248194&fccid=e77073f1483d3849&vjs=3,"Experiencia en Azure SQL Conocimiento avanzado en SQL (data transformation, data structures, metadata, Dependency and workload management).",2023-05-06,"Remoto in Sinaloa, Sin."
15pBMSQZ,Jr Data Scientist,https://mx.indeed.com/rc/clk?jk=889a9625f3a53184&fccid=c172deadb7fe7cb3&vjs=3,Experience 0 to 1 year Strong capacity for statistical data…,2023-05-06,Remoto in Ciudad de México
gPglyaCO,"Manager, Data Solution Specialist",https://mx.indeed.com/rc/clk?jk=823e9b2c71e6ac34&fccid=7ff126af0cd3d93b&vjs=3,"You will engage with the analyst/ data science community to maximize the usefulness of our data and enable discovery, understanding and use of our key data…",2023-05-06,Remoto in Ciudad de México
f9HJpQTF,SENIOR BUSINESS ANALYST,https://mx.indeed.com/rc/clk?jk=809d50ddf2358600&fccid=2f27a82023b4a64f&vjs=3,Their modules work seamlessly together to provide unparalleled ease…,2023-05-06,Remoto
l4uhvsI6,"Business Analyst, Google Workspace",https://mx.indeed.com/rc/clk?jk=af9a9926f3545ad5&fccid=41e8f9abd9840a7a&vjs=3,"This includes planning, analysis and design, configuration, development, data migrations, system testing, cutover plan, and production support.",2023-05-06,Remoto in Ciudad de México
WXcaIJFs,Health &amp; Safety Specialist Semi Senior - CDMX,https://mx.indeed.com/rc/clk?jk=094f5ef4e672d989&fccid=d13187a50c252e33&vjs=3,Coordinate and ensure the proper performance and activities of the occupational health and safety…,2023-05-06,"Remoto in Benito Juárez, CDMX"
O4oHNZA2,Senior Pricing Specialist,https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMkoNo-4RC6CrAaISY6uocvTnsVw0kIC8CvK5SiV_Wqro2KlH8LSXlVCr9lNcgWHS_qZyS4Vi5jDaZQUatylJZadW4Gvsd3BX5-hPYzjtZNVzj7gp0NhLM0O6bnOaazYIKDzpEdVdxyzUGABsip9TDwL8gYIcWtww9VgSfJUgzdkud-82rSQxtHcdoDIQZAc2nM-6YMogP4XS1i7UJqg0bXexz99Q4QE8gpecLYn0A_QttEiwpOyGwGWbeM_Bcko9eXIkvvByDbvcn2ofG_g1wzAyasTLrMFY5_ecQ3hQxL-NEQQBNhKnoUmRIlCGr1hvVsuS4O7z3SKZw3MoXv3Xi5s_z5RLXYLdvqxowSzb-9ORbmVmgxcariAvFyspxVj_8cm9_tLjR60U7WoNsLIGUsmlz1TpSU7DqKrVidifqAFOOszAn_zzD-_QcTY79qt_k-89xU14BgdQ1OK1W_CJKPfQH0_EXGS96KwoCRoDCKrXlnFTJZnSjzfR8hLL3By-5BJjU4pBeWw==&xkcb=SoDL-_M3Q5iTymyQCh0HbzkdCdPP&p=11&fvj=1&vjs=3,Analyze customer data and conduct surveys to identify…,2023-05-06,Remoto
