titles,links,pubdate,location,description
Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=7d68f7b742b2dc81&fccid=e77073f1483d3849&vjs=3,2023-05-05,"Remoto in Hermosillo, Son.","<p><br> Ingreso de $100,000 a $110,000 pesos libres 100% nominales y prestaciones ley, vales, bonos y seguros</p>"
Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=303da20f1f83d5e8&fccid=e77073f1483d3849&vjs=3,2023-05-05,"Remoto in Tijuana, B.C.","<p><br> Ingreso de $100,000 a $110,000 pesos libres 100% nominales y prestaciones ley, vales, bonos y seguros</p>"
Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=3e32469f2d248194&fccid=e77073f1483d3849&vjs=3,2023-05-05,"Remoto in Sinaloa, Sin.","<p><br> Ingreso de $100,000 a $110,000 pesos libres 100% nominales y prestaciones ley, vales, bonos y seguros</p>"
Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=872ff595cf4980ad&fccid=e77073f1483d3849&vjs=3,2023-05-05,"Remoto in Aguascalientes, Ags.","<p><br> Ingreso de $100,000 a $110,000 pesos libres 100% nominales y prestaciones ley, vales, bonos y seguros</p>"
Jr Data Scientist,https://mx.indeed.com/rc/clk?jk=889a9625f3a53184&fccid=c172deadb7fe7cb3&vjs=3,2023-05-05,Remoto in Ciudad de México,<p> Guarantee the quality and integrity of the data used in the analyses.</p>
"Manager, Data Solution Specialist",https://mx.indeed.com/rc/clk?jk=823e9b2c71e6ac34&fccid=7ff126af0cd3d93b&vjs=3,2023-05-05,Remoto in Ciudad de México,"
   <div>
     Work with stakeholders across the organization to understand reporting, analytic, and application data needs
   </div>"
Health &amp; Safety Specialist Semi Senior - CDMX,https://mx.indeed.com/rc/clk?jk=094f5ef4e672d989&fccid=d13187a50c252e33&vjs=3,2023-05-05,"Remoto in Benito Juárez, CDMX","Professional degree in Engineering, Safety, and Health at Work (occupational health) or similar"
Senior Pricing Specialist,https://mx.indeed.com/rc/clk?jk=809d50ddf2358600&fccid=2f27a82023b4a64f&vjs=3,2023-05-05,Remoto,Bachelor's (Required)
SENIOR BUSINESS ANALYST,https://mx.indeed.com/rc/clk?jk=496ec1dae0a37140&fccid=2c4f6a3131fc693b&vjs=3,2023-05-05,Remoto, At least 8 years of experience as a Business Analyst.
Revenue Operations Analyst,https://mx.indeed.com/rc/clk?jk=a934d9bba854d316&fccid=2a90b491c8a55d0f&vjs=3,2023-05-05,Remoto in Ciudad de México,"Conduct in-depth analysis of key metrics, including customer acquisition cost (CAC), payback period, and compensation calculations, to inform revenue-generating strategies that align with our OKRs."
Data Privacy - Analyst II,https://mx.indeed.com/rc/clk?jk=9398142cde598335&fccid=85379f327bc18fe3&vjs=3,2023-05-05,"Remoto in Guadalajara, Jal."," Develop, implement, and manage privacy standards and procedures in accordance with applicable laws and regulations."
SOC Analyst,,2023-05-05,Remoto,Monitor incoming event queues for potential security incidents; identify and act on anomalous network activity 
