id,title,link,description,pubdate,location,timestamp
294194,Concept Designs Inc is seeking a Senior POP  Product Designer,https://www.coroflot.com/design-jobs/Senior-POP-Product-Designer-Concept-Designs-Inc-Palo-Alto-CA-522609,Palo Alto CA,2023-06-04,NaN,2023-06-04 11:11:38.009917
322988,Riddell is seeking a Graphic Designer  Contract,https://www.coroflot.com/design-jobs/Graphic-Designer-Contract-Riddell-Des-Plaines-IL-522775,Des Plaines IL,2023-06-04,NaN,2023-06-04 11:11:38.009962
139870,Wentworth Institute of Technology is seeking a Coop  Career Advisor,https://www.coroflot.com/design-jobs/Co-op-n-Career-Advisor-Wentworth-Institute-of-Technology-Boston-MA-522770,Boston MA,2023-06-04,NaN,2023-06-04 11:11:38.010029
373609,Nuzine is seeking a Design Draftsperson,https://www.coroflot.com/design-jobs/Design-Draftsperson-Nuzine-New-York-NY-522669,New York NY,2023-06-04,NaN,2023-06-04 11:11:38.010070
179462,Noah Medical is seeking an Industrial Design Intern,https://www.coroflot.com/design-jobs/Industrial-Design-Intern-Noah-Medical-San-Carlos-CA-522682,San Carlos CA,2023-06-04,NaN,2023-06-04 11:11:38.010112
189285,Frankford Candy LLC is seeking a Temporary Senior Designer,https://www.coroflot.com/design-jobs/Temporary-Senior-Designer-Frankford-Candy-LLC-Philadelphia-PA-522661,Philadelphia PA,2023-06-04,NaN,2023-06-04 11:11:38.010153
39695,Garmin International is seeking a Senior CMF Designer,https://www.coroflot.com/design-jobs/Senior-CMF-Designer-Garmin-International-Olathe-KS-522639,Olathe KS,2023-06-04,NaN,2023-06-04 11:11:38.010193
211081,Texas State University School of Art and Design is seeking an AssistantAssociate Professor of Practice in Communication Design,https://www.coroflot.com/design-jobs/AssistantAssociate-Professor-of-Practice-in-Communication-Design-Texas-State-University-School-of-Art-and-Design-San-Marcos-TX-522636,San Marcos TX,2023-06-04,NaN,2023-06-04 11:11:38.010233
124713,Egg Collective is seeking a Lead Finisher in Brooklyn Woodshop,https://www.coroflot.com/design-jobs/Lead-Finisher-in-Brooklyn-Woodshop-Egg-Collective-Brooklyn-NY-522420,Brooklyn NY,2023-06-04,NaN,2023-06-04 11:11:38.010274
470630,Nokia is seeking an Interface UX Designer CoopIntern,https://www.coroflot.com/design-jobs/Interface-UX-Designer-Co-opIntern-Nokia-Ottawa-ON-522372,Ottawa Canada,2023-06-04,NaN,2023-06-04 11:11:38.010315
460259,Funko is seeking a Packaging Engineer,https://www.coroflot.com/design-jobs/Packaging-Engineer-Funko-Everett-WA-522371,Everett WA,2023-06-04,NaN,2023-06-04 11:11:38.010356
