Title,URL,Feed URL,Notes
Adafruit Job Boards,https://jobs.adafruit.com/?query=&amp;location=&amp;type%5B%5D=7,,US ONLY
AngelList,https://angel.co/jobs,,WORTH IT TO SIGN UP - SCRAPPING IT MUGHT BE A BIT HARD - WELL FOUND IT IS THE NAME NOW
Authentic Jobs,https://authenticjobs.com/,,RSS FEED DOES NOT WORK & NOT MANY JOBS TBH
Behance,https://www.behance.net/joblist,,NOT WORTHY - NOT MANY JOBS
Career Vault,https://careervault.io/,,USE NEWSLETTER
CareerBuilder,https://www.careerbuilder.com/jobs-remote-web-developer,,US ONLY
ClojureJobboard.com,https://ClojureJobboard.com/,,Clojure jobs only with a remote section | NO PUBDATE
Coroflot,https://www.coroflot.com/design-jobs/remote,,Presented as Design Jobs but there are development/technical positions within this category
Craigs List,https://craigslist.org,,NOT WORTHY - NOT MANY JOBS
Crunchboard Job Board,https://www.crunchboard.com/,,
Crypto Jobs List,https://cryptojobslist.com/remote,,
Cryptocurrency Jobs,https://cryptocurrencyjobs.co,, A BIT LIMITED
CyberCoders,https://www.cybercoders.com/browse-jobs/,,US ONLY
DailyRemote,https://dailyremote.com,,A BIT LIMITED
DesignRemotely,https://designremotely.co/,,JUST DESIGNED JOBS
Dice,https://www.dice.com/jobs,,
Diversify Tech,https://www.diversifytech.co/job-board/,,
Dribbble,https://dribbble.com/jobs?anywhere=true&amp;location=Anywhere,,Mostly design and UI/UX jobs but also some development
Drupal Jobs,https://jobs.drupal.org/,,
Edworking,https://www.edworking.com,,One platform for you and your team
FOSS Jobs,https://www.fossjobs.net/,https://www.fossjobs.net/rss/all/,USING OTHER CRAWLER | Jobs for FOSS and Open Hardware. A list of category-specific feeds can be found here: https://www.fossjobs.net/rss/
Find Bacon,https://findbacon.com/jobs/remote,https://findbacon.com/rss/main,USING OTHER CRAWLER 
Remote OK,https://remoteok.io/remote-companies,https://remoteok.com/rss,USING OTHER CRAWLER 
