title,link,description,pubdate,location,timestamp
Senior Accounts Receivable Specialist,https://remotive.com/remote-jobs/finance-legal/senior-accounts-receivable-specialist-1756367,Broadlume is on a mission to transform the Flooring industry through integrated technology. We are looking for a skilled Senior Accounts Receivable Specialist to join our Finance and Accounting Team. For this role you will review account information correct discrepancies ensure that accounts are properly billed and that payments are collected on time. The Senior Accounts Receivable Specialist will help ensure accuracy and efficiency of operations processing and monitoring of incoming payments and securing revenue by verifying and posting receipts. The ideal candidate will be a self-starter inquisitive highly organized detail-oriented and possess excellent communication skills. This is a full time remote position and reports to the Controller. There are no direct reports at this time. This is a highly visible client-facing role with an opportunity to optimize and structure the Accounts Receivable and Collections functions for maximum effectiveness. This is a salaried position with potential for incentive pay based on performance. **This is a full time remote position** WHAT YOU’LL DO  Prepare and ensure accuracy and completeness of monthly recurring invoices and timely issuance of installation distribution and service invoices Process incoming payments and maintain accurate customer account records and reconcile the accounts receivable ledger to ensure that all payments are accounted for and properly posted Maintain and update customer files including name or address changes mergers or mailing instructions Lead collections process for all Accounts Receivable by developing strong relationships with clients resolving client issues conducting thorough research collaborating with Sales Account Management and Onboarding departments and providing regular reporting to management regarding accounts receivable status and collections efforts Propose process improvements train other departments in best practices evaluate automation solutions and streamline communication to create a best-in-class function Assist Accounting Department in reconciling revenue accounts each month Advise on Allowance for Doubtful Accounts and bad debt write-offs Perform other related duties as assigned  Requirements WHO YOU ARE  7+ years of proven working experience in Accounts Receivable and Collections BS or Associate’s degree in Accounting or Business Administration Excellent verbal and written communication skills Proficient in Microsoft Office Suite Sage Intacct Stripe and Salesforce Solid understanding of basic accounting principles fair credit practices and collection regulations Proven ability to accurately calculate post and manage accounting figures and financial records Customer service orientation with ability to communicate accurately and effectively with internal and external stakeholders Self-starter with the ability to work independently identify issues and escalate them appropriately Time management prioritization problem solving and negotiation skills High degree of accuracy and attention to detail  Benefits  Health Care Plan (Medical Dental &amp; Vision) Retirement Plan (401k 4% match) Life Insurance Unlimited Paid Time Off Family Leave Short Term &amp; Long Term Disability Work From Home + Remote Office Allowance Wellness Resources &amp; Lifestyle Perks Calm Premium App Subscription Stock Option Plan    Who We Are: Our mission at Broadlume is pretty simple: simplify the complicated world of digital marketing for the flooring industry. The opportunity is massive and we have the team to execute the vision…except well for you. At Broadlume we are committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process please email us at careers@broadlume.com and let us know the nature of your request and your contact information. Broadlume is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to sex gender identity sexual orientation race color religion national origin disability protected veteran status age or any other characteristic protected by law. ,2023-08-13,USA,2023-08-13 11:26:01.172021
Data Integration Engineer,https://remotive.com/remote-jobs/data/data-integration-engineer-1745660,Data Integration Engineer (full-time f/m/d) based in Málaga Spain   ysura is a SaaS innovator committed to providing intuitive fast and flexible commercial solutions for pharma organisations across the spectrum — niche businesses medium companies and large global enterprises. ysura is headquartered in Munich Germany. We are expanding into other European regions and are actively searching for new team members in our Málaga hub Spain. Would you like to join us on this journey as a Junior Data Engineer? Responsibilities  • Work as part of the tech team on data integration reporting analytics • Integrate internal and external data sources into the analytics platform (SQL Talend ETL Python) • Work with customer data on data intake/export define and establish quality gates • Integrate data from the ysura application landscape into the analysis environment (Jaspersoft / Jupyter Notebooks) • Build up tooling/knowledge to support other teams at ysura • Design and implement data structures for a highly performant data analysis environment  Required Skills Qualifications &amp; Experience  • Very good knowledge of SQL • Hands-on experience with relational databases (PostgreSQL) • Hands-on experience with building ETL / data pipelines (Talend / Airflow) • Good programming skills (Python) • Enjoy analytical structured and data-driven work • Proactively work remotely and locally as a virtual team • Fluent in English  What drives us?  Design All our products have been designed and engineered with a strong focus on usability. Because if no one wants to use our software or we have to spend all our time teaching people how to use our products we are in the wrong business. Collaboration The best part of being a team where everyone knows each other is that we genuinely enjoy working with one another. There is no “my job” or “your job” it is always “our job”. Simple as that. Innovation At ysura different disciplines come together to work hand-in-hand to design and build products and strategies to help Pharma companies achieve and exceed their goals. This quote captures our modus operandi. “If you want something new you have to stop doing something old.” –Peter F. Drucker And this is why you’ll love this job!  • Be part of a fun dynamic and truly international team • Competitive salary with a clear path to growth. We perform structured 360-degree performance reviews every six months and adjust salaries accordingly • Remote work is possible - we also value seeing each other though (unless there’s a pandemic) • Regular offsite team events in fascinating locations  • Use the best Apple hardware • Flat hierarchy casual and a friendly and fun atmosphere • Enough slack time to experiment with new ideas • Interesting conference coming up? Book it!  • We’re always learning – often as a group at frequent get-togethers  • 28 day paid holiday plus generous holiday rules for Christmas weddings and more... ,2023-08-13,Spain,2023-08-13 11:26:01.172026
Junior IT Recruiter,https://remotive.com/remote-jobs/hr/junior-it-recruiter-1751993,Are you passionate about connecting talented professionals with their dream job opportunities? Do you have a keen interest in the IT industry and possess excellent communication skills? If yes we have an exciting opportunity for you! We are currently seeking a motivated and dynamic Junior IT Recruiter to join our recruiting agency focusing on IT and non-IT vacancies. The ideal candidate will have completed IT recruiting courses or gained relevant experience in this field. While having at least 6 months of prior work experience is preferred we are open to considering fresh graduates with exceptional motivation and enthusiasm. Your fluency in English will enable you to effectively communicate with job seekers from around the world while your outstanding communication skills will play a pivotal role in enhancing the recruitment process. Responsibilities:  As a Junior Recruiter in our team you will be responsible for sourcing and identifying top-notch candidates for a wide range of positions in IT and other domains.  During the first 3 months you will have effective and detailed onboarding during the first 6 months you will continue to gain your technical skills while training and achieving company and personal goals and during the first year you will be able to work independently as a full-stack recruiter.  What we can offer you:  You will have the flexibility to work remotely allowing you to create a work-life balance that suits your needs. We value your professional growth and as such we offer access to various training courses books and resources to support your development. Additionally you will have the opportunity to earn bonuses based on successful candidate placements further motivating you to excel in your role. Joining our company will provide you with the chance to build an exciting career in the recruitment industry gain exposure to cutting-edge technologies and establish valuable connections with professionals from diverse backgrounds. You will also have 20 calendar days of vacation and additional days off on official holidays.  Your path to the offer: CV Review =&gt; Technical Interview =&gt; Testing Task =&gt; Final Interview =&gt; Offer ,2023-08-13,Ukraine,2023-08-13 11:26:01.172028
Business Analyst (Salesforce Health Cloud exp.),https://remotive.com/remote-jobs/business/business-analyst-salesforce-health-cloud-exp-1729985, Company Description CoEnterprise is an award-winning B2B software and professional services company headquartered in New York City. Founded in 2010 CoEnterprise delivers Data &amp; Analytics solutions and services that transform how companies connect and do business. CoEnterprise approaches each relationship and engagement from the perspective of three core values: collaboration ownership and excellence. We value collaboration with both our partners and clients in order to present the best possible outcome for our customers. Our vow to accept ownership ensures that our entire staff takes pride in our work and it is our commitment to excellence that ensures that this work is at the highest standard possible.  Job Description As a Business Analyst at CoEnterprise you will be responsible for driving and facilitating Business Process Improvement projects analyses recommendations and documentation. You will serve as an internal consultant to the customer working with key leaders and stakeholders to understand business process objectives potential changes challenges and areas needing assessment/improvement. You will function as an expert in examining critical factors impacting our customer’s ability to deliver their products and services through the use of Lean Six Sigma process improvement methods. Project scope will span technology and business processes for our clients across various industries. As an agent of change this position will create business cases for proposed process or operational changes based on operational observation and industry best practice standards research. As a project leader this position will plan and track performance on all process improvement projects and ensure all projects are appropriately resourced for all timely and quality-driven deliverables. An expert in business workflows and technical systems this position collaborates with operations solution design IT vendor partners and business stakeholders to ensure all recommended process changes are vetted agreed documented tested and measured for success before implementation at scale. Responsibilities:  Process Assessments:  Identify process improvement opportunities using Six Sigma techniques. Identify automation opportunities wherever possible. Perform data gathering root cause analysis and performance trending to develop appropriate process control changes. Document current procedural steps and to-be process flows Document all process steps factoring in service levels staffing resources current technology other team involvement and exception handling steps. Capture capacity utilization of the process: FTE productivity metrics average handling time Study existing process information: Standard operation procedures process maps process interdependencies Capture the cost impact of the current and reimaged process Create proposals to alter or reengineer processes to automate or improve process efficiencies Test and evaluate the effectiveness of all process changes and new processes prior to implementation at scale.   Process Change Management:  Document update and maintain documentation on process improvements. Lead process implementation activities with impacted stakeholders including a pilot (if applicable) user guides SOP documentation and training material. Provide training support on new processes   Process Leadership:  Prioritize and implement process change requirements based on the critical project needs. Develop project plans for all approved process improvement projects. Assign and manage project teams for all approved process improvement projects. Create and deliver effective communication plans to all stakeholders impacted by process improvement projects. Define measures of success for operational improvements and new processes. Deliver reporting to leadership on defined process change metrics. Evaluate and track user adoption of all process changes and new processes post-implementation. Consult on all new implementations to assess process impact and necessary changes.    Qualifications:  Required:  Bachelor’s degree 4+ years of experience with business process improvement in a problem-solving capacity Agile/Scrum delivery experience MS Suite proficiency Experience with workflow and process mapping software Experience with Data and Business Intelligence tool Excellent communication skills including written verbal and listening. Organizational and prioritization skills; Ability to work under pressure set and adhere to project deadlines. Detailed documentation skills with ability to write for comprehension at all user learning levels. Understands the trends and emerging challenges facing the customer market and industry. Self-directed innovative thinker with strong attention to detail and commitment to consistently meeting timelines and operating from a sense of urgency. Comfortable speaking and engaging with senior leadership and a wide variety of audiences. Maintains positive working relationships with all stakeholder levels. Ability to escalate issues appropriately Applies basic research information gathering and analytical skills to:  Select appropriate alternatives from defined options Collect required documentation and verify conformance with standards Assess the accuracy of detailed information   Positive attitude ability to work well and fast under pressure exceptional customer service attitude. Ability to be comfortable with uncertainty; ability to be flexible to accommodate changing priorities and timelines.     Preferred:  Six Sigma Certification (green belt or black belt) Business Analyst Certification Salesforce Health Cloud experience     Qualifications Qualifications:  Required:  Bachelor’s degree 4+ years of experience with business process improvement in a problem-solving capacity Agile/Scrum delivery experience MS Suite proficiency Experience with workflow and process mapping software Experience with Data and Business Intelligence tool Excellent communication skills including written verbal and listening. Organizational and prioritization skills; Ability to work under pressure set and adhere to project deadlines. Detailed documentation skills with ability to write for comprehension at all user learning levels. Understands the trends and emerging challenges facing the customer market and industry. Self-directed innovative thinker with strong attention to detail and commitment to consistently meeting timelines and operating from a sense of urgency. Comfortable speaking and engaging with senior leadership and a wide variety of audiences. Maintains positive working relationships with all stakeholder levels. Ability to escalate issues appropriately Applies basic research information gathering and analytical skills to:  Select appropriate alternatives from defined options Collect required documentation and verify conformance with standards Assess the accuracy of detailed information   Positive attitude ability to work well and fast under pressure exceptional customer service attitude. Ability to be comfortable with uncertainty; ability to be flexible to accommodate changing priorities and timelines.     Preferred:  Six Sigma Certification (green belt or black belt) Business Analyst Certification Salesforce Health Cloud experience     Additional Information Come experience our spirited culture and work with a smart dedicated and high-energy team in a stable and fast-growing company! Here is a small sample of our benefits and perks we offer:  Comprehensive Health Insurance with generous employer contribution Matching 401(k) - $$$$ Generous PTO Policy Virtual Team Lunches Wellness Program Monthly Mingles Birthday Celebrations Virtual Events- Happy Hours Casino Night Magic Show Scavenger Hunt of National History Museum Game Nights and more  At CoEnterprise we believe diversity drives innovation. We are committed to creating and maintaining a workplace in which all employees have an opportunity to participate and contribute to the success of our business. In recruiting for our team we welcome the unique contributions that you can bring. We value employees for their differences represented by a variety of dimensions including demographics behaviors work style and perspectives. We are an AA/EOE employer. Position is US based remote. ,2023-08-13,USA,2023-08-13 11:26:01.172030
Backend Engineering Manager,https://remotive.com/remote-jobs/software-dev/backend-engineering-manager-1732134,About Us Close is a bootstrapped profitable 100% remote ~80 person team of thoughtful individuals who value autonomy and impact. We’re eager to make a product our customers fall in love with over and over again.   We ❤️ startups &amp; SMBs. Since 2013 we’ve been building a CRM that focuses on better communication without the hassle of manual data entry or complex UI. Our goal: double the productivity of every sales rep.   Our backend tech stack currently consists primarily of Python Flask web apps with our TaskTiger scheduler handling many of the backend asynchronous task processing chores. Our data stores include MongoDB PostgreSQL Elasticsearch and Redis. The underlying infrastructure runs on AWS using a combination of managed services like EKS MSK RDS and ElasticCache and non-managed services running on EC2 instances. All of our compute runs through CI/CD pipelines that build Docker images run automated tests and deploy to our Kubernetes clusters. Our backend primarily serves a well-documented public API that our front-end JavaScript app consumes. Our infrastructure is heavily automated using AWS tools Terraform and Ansible.   We ❤️ open sourcing our code and ideas on our GitHub and on The Making of Close our behind-the-scenes Product &amp; Engineering blog. Check out our projects like SocketShark TaskTiger LimitLion and ciso8601.   About You Were looking for a full-time Engineering Manager to join our core Product &amp; Engineering Team who has significant experience building managing and monitoring backend services at scale. You should be comfortable working in a fast-paced environment with a medium-sized talented team where youre supported in your efforts to grow professionally. You are able to manage your time well communicate effectively and collaborate in a fully distributed team.   Reporting to the Director of Backend Engineering you will lead a small team of Python engineers helping them solve technical challenges project planning and providing other support as needed to help them build our backend services. Your team will split its time working on a combination of (a) general backend projects to improve our product and (b) specific focus areas assigned to your team.   This position will lead some of our backend security initiatives. Example projects include managing our compliance monitoring platform improving our alerting processes and managing a new bug bounty program.     Key responsibilities:  Manage and grow a team of 4-8 mostly senior Python software engineers support them through 1:1s and continuous feedback and support their career growth. Help manage our software development cycles by supporting prioritizing speccing and building features (our process is loosely based on Shape Up).  Work with other Close teams to communicate changes gather requirements and maintain open communication across our organization. Develop a roadmap for their team’s focus areas and set goals to work towards that plan. Help tune our engineering processes to allow us to scale and continue shipping high quality software. Promote delegating responsibilities across their team and sharing knowledge whenever possible (check out our engineering blog for examples of sharing). Help maintain our public and private GitHub repos by managing issues and projects to categorize prioritize and plan future work. This position is primarily a management role but the candidate should be comfortable with coding efforts like PR reviews bug fixes and other coding activities outside of critical path development efforts.     You should...  Have 2+ years leading a software engineering team. Have 4+ years of senior software engineering experience (Senior experience in other languages is acceptable but working knowledge of Python is required). Have a strong interest and ideally significant experience in backend technologies like databases async job processing messaging systems indexing/search systems web frameworks AWS or other cloud providers etc.  Be detail-oriented organized and great at oral/written communication. Be self-motivated and comfortable with responsibility. Be growth minded and want to help improve our processes scale teams and take other actions that significantly improve our productivity and quality. Be a US citizen or green card holder and located in the US.    Why Close?   Culture video 💚 100% remote company (we believe in trust and autonomy) Choose between working 5 days/wk (standard full-time) or 4 days/wk @ 80% pay Annual team retreats ✈️ Quarterly virtual summits 5 weeks PTO + Winter Holiday Break 2 additional PTO days every year with the company 1 month paid sabbatical every 5 years Co-working stipend Paid parental leave Medical Dental Vision with HSA option (US residents) 401k matching at 6% (US residents) Dependent care FSA (US residents) Contributor to Stripes climate initiative 🌍 ❤️  Our story and team 🚀    Our Values  Build a house you want to live in -- Examine long-term thinking and action No BS - Practice transparency and honesty especially when it’s hard Invest in each other -- Build successful relationships with your coworkers and customers  Discipline equals freedom -- Keep your word to yourself and others Strive for greatness -- Constantly challenge yourself and others     How We Work Together  Productivity Quality &amp; Impact: We don’t track hours. We trust you’re an adult and know best how to prioritize meet your goals and contribute at a high level.  Asynchronous communication &amp; collaboration: We have team members all over the world. We don’t expect anyone to work untraditional hours that means our default is async. Most teams have 2-5 hours of internal meetings weekly.  Appreciation for Deep Work: *During your normal work day not after a day a meetings*.  Autonomy &amp; Freedom: Create a work environment that is sustainable for you. We place a high amount of trust and responsibility with our team members from the start.       At Close everyone has a voice. We encourage transparency and practice a mature approach to the work-place. In general we don’t have strict policies we have guidelines. Work/Life harmony is an important part of our business - we believe you bring your best to work when you practice self-care (whatever that looks like for you).    We come from 20+ countries located in 5 of the 7 continents. We’re a collection of talented humans rich in diverse backgrounds lifestyles and cultures. Every year we meet up somewhere around the world to spend time with one another. These gatherings are an opportunity to strengthen the relationships within our global community.   Our team is growing in more ways than one - in the last few years weve launched 24 babies (and counting!). Unanimously our favorite and most impactful value is “Build a house you want to live in.” We strive to make decisions that are authentic for our people and help our customers become more successful.    Our application process was designed to promote equitable and unbiased hiring practices. We ask a small series of questions that are similar to what would be asked in the first interview. This helps us learn more about you right from the start so please be sure to answer each question thoughtfully. Each application will receive two screens by two different reviewers. Regardless of fit you will hear back from us letting you know if well be moving forward. ,2023-08-13,USA,2023-08-13 11:26:01.172032
Front End Developer,https://remotive.com/remote-jobs/software-dev/front-end-developer-1680495,WHY YOU SHOULD APPLY:   Coalition Technologies is devoted to delivering clients the highest quality work while providing our team a fun thriving and innovative environment. Along with the opportunity for tremendous career growth and rapid advancement CT offers:  The most competitive profit-sharing bonus plan in the industry paying up to 50% of company profits to full-time employees each month! A highly competitive Paid Time Off plan promoting quality work-life balance. Subsidized gym memberships to help team members feel their best. Medical dental vision and life insurance packages for all US-based team members. International Health Insurance Reimbursement Program for all international team members a benefit unique to Coalition. Device upgrade and learning reimbursement programs. Motivating career development plans with clearly defined goals and rewards. Additional job-specific incentives and bonuses.  Plus 100% of our team works remotely with the support of time tracking software. Our company culture specializes in supporting remote team members and we’ve been doing so for more than a decade. CT welcomes your application wherever in the world its coming from!   YOU SHOULD HAVE:    An expertise in HTML5 CSS3 and jQuery A thorough understanding of cross-browser compatibility issues Experience with media queries A knowledge of CSS platforms such as Twitter’s Bootstrap An ability to multi-task on multiple projects and tasks at the same time Great attention to detail and be highly organized A positive and upbeat attitude with the ability to learn quickly Proficiency in PHP/MYSQL and AJAX (preferred) Experience with WordPress BigCommerce Magento and Shopify (preferred) Excellent written and spoken English The availability to work 40 hours per week from 9:00 am to 6:00 pm PST The ability to adapt to a diverse and multicultural environment Passion to build a startup Reliable transportation if working in-house A reliable workstation with a fast computer microphone and speakers reliable internet and power if working remotely    YOUR DUTIES AND TASKS:    Transforming complex layout PSDs into pixel-perfect presentation-layer HTML5/CSS3 templates Creating responsive website designs Building websites with WordPress extending and developing plugins and themes Working with Photoshop Illustrator and Fireworks to create images optimized for the web Working with version control systems such as GIT / SVN Working under tight deadlines Handling multiple projects at the same time Producing high quality of work with a strong focus on detail    We are looking for talented and diligent candidates who excel in our skills tests and will consider these candidates even if past experience or educational background criteria arent met.   *Starting base pay in the US states of California New York Washington and Colorado for this position ranges between $15 - $35 per hour ,2023-08-13,Worldwide,2023-08-13 11:26:01.172034
Head of Product,https://remotive.com/remote-jobs/product/head-of-product-1732005, Are you passionate about SaaS and proficient in Agile methodologies? Do you thrive in a fast-paced environment and enjoy collaborating with cross-functional teams? Are you excited about the opportunity to put users first and shape the product strategy of a leading web performance company?    If you answered yes to these questions we are sure this position will sound super exciting to you. 🤩 We are looking for a talented and experienced Head of Product to lead our product management team and help us further develop our product portfolio (WP Rocket Imagify and RocketCDN for now 🚀). Keep reading for more details! 📝   Become Our Head of Product! In your job as a Head of Product your primary focus will be on product strategy user satisfaction and product team management. You will play a key part in developing the people on your team creating an environment that helps them succeed and improving the effectiveness of the product management function at WP Media. In this role you will report directly to the CEO. We work remotely and ideally you should live in a country that aligns with the European Timezone. We are so curious to know which new country will be added to our distributed team map! 🌍   What You Will Be Doing: In your everyday job as a Head of Product you will be dealing with technical products and be responsible for bringing ever more value to our clients. You need to have a deep understanding of user experience and product-led methodologies as well as a proven track record of success in Tech/SaaS product management.   Here is a list describing the tasks involved in this position (do you happen to like making lists? So do we!):   🤓 Product Strategy  Create a comprehensive vision and roadmap for our products that aligns with our customers needs and the company’s business goals. Conduct market analysis competitor research and stay up-to-date with industry trends to identify opportunities. Establish and track KPIs to measure the success and impact of product initiatives and optimize for delivering the best possible outcomes.     User Focus  Develop a deep understanding of our users and their needs through market research user feedback and data analysis. Collaborate with the marketing and engineering teams to create simple and delightful user experiences that exceed customer expectations. Champion a user-centric approach throughout the product development lifecycle ensuring user needs are at the forefront of decision-making processes.    🤝 Product Team Management  Build and lead a high-performing product team providing mentorship guidance and professional development opportunities. Foster a culture of collaboration efficiency and accountability within the team. Collaborate closely with cross-functional teams to ensure seamless product development and launches.    What Do You Need To Excel at This Job:  Proven experience in a senior product management role preferably as a Head of Product or similar capacity. Strong analytical skills with the ability to use data to make informed decisions. Strong understanding of product-led methodologies user-centered approaches and agile practices. Experience with modern product management tools and frameworks. Excellent leadership and team management skills with the ability to inspire motivate and empower teams to achieve ambitious goals.   Keen interest in technological products. Good spoken and written English.    Do you want to know three other things we appreciate about our candidates?  A startup mentality You are doer you are adaptable and you like to evolve in a fast-paced environment. Previous remote job experience.Slack will be your virtual office where all the life of the company takes place. The involvement in the WordPress community.We support our teammates to attend and/or speak at WordCamps and volunteer within the community.    If you are excited about driving user-focused innovation shaping product strategy and leading a high-performing team this is the perfect opportunity for you.      ,2023-08-13,European,2023-08-13 11:26:01.172035
Social Media Toolkit & Social Media Content,https://remotive.com/remote-jobs/marketing/social-media-toolkit-social-media-content-1757439,Please do not contact the brand through other mediums apart from Contra (you will be directed to Contra after clicking Apply to this position button on Remotive) as your application will not be considered   Project Overview Were seeking a creative collaborator to join our team for a thrilling multi-stage social media project primarily focusing on Instagram and TikTok but will require a short proposal before selecting our final collaborator.   Social Media Design Toolkit  Your task is to curate a captivating social media design toolkit that brings to life the vibrant personality of Cuppashanti. This toolkit will serve as a creative guide ensuring a cohesive and modern online presence for our brand.   Assistance with Creation of Launch Social Media Assets We need your expertise in crafting compelling content using stock photography and videography for our pre-launch phase. These assets will introduce our audience to the world of Cuppashanti showcasing our inspiration slogans and visual mood board with a modern and fun twist.   Vertical and Square social media Graphic Ads / Stories (nice to have. - not essential) We want to create a visually intriguing stories that engage customers and want to make them find out more about the brand.   Our Ideal Collaborator Due to the nature of the brand we would prefer to have someone that understands West African Culture and has come from a fashion / beauty / luxury background or worked with a fun FMCG (such as Innocent Smoothies). This is important because Africa is a continent with a large variety of culture so you will need to tap into this. We are also not your typical cup company we act like a fashion brand with our collections etc. Art Directors Creative Directors Social Media Strategists Content Creators and Motion Graphic Experts we welcome your talents to work wonders on our social media platforms. Show us your innovative ideas and modern design experience.   Brand Guidelines and Inspiration: Once selected with for the project you will be provided with the current brand guidelines and Pintrest bored of social media elements we like.   Target Audience: Our target audience comprises the modern and fun-loving millennials and Gen Z with a touch of Gen X. They crave authentic insights into contemporary Africas development and they appreciate creativity and artistry. Your content should be bold vibrant and full of personality capturing their attention and resonating with their interests as opposed to the normal social media tool kit.   Deliverables: 1. Create a social media design toolkit filled with templates for posts and stories to spark interest and curiosity. 2. Develop a captivating content calendar (for the launch only) thoughtfully planned for our grand launch. 3. Were excited to see your social media motion graphics adding a touch of modern flair and boosting engagement.   Timeline: While were eager to get started ASAP we trust your expertise in determining a realistic and efficient timeline for this project.   Examples and Inspiration:     A brand guideline and Pinterest board of potential motion graphic content will be sent to candidates with relevant portfolios before the job is accepted to see that they understand the brand. A short one pager / proposal of some sort will be required before the job is offered to the respective candidate. ,2023-08-13,Worldwide,2023-08-13 11:26:01.172037
Senior Java Developer,https://remotive.com/remote-jobs/software-dev/senior-java-developer-1757397,ABOUT THE COMPANY Bonfire is transforming the way people buy and sell high-quality custom apparel. We are a free online platform where anyone can design sell and buy custom products. Weve helped thousands of individuals groups and nonprofits raise money for the causes they care about and also serve the worlds top creators as their premiere custom merch platform. Were a passionate creative and data-driven team constantly pursuing our vision: to strengthen communities that inspire a kinder world. We bring this vision to life by hiring passionate smart people who celebrate and respect others are committed to a life of curiosity are never satisfied with good enough are eager to co-create the future and who thrive through teamwork. Have we been looking for you?   ABOUT THE JOB Our Engineering team is searching for their future Senior Java Developer who is a critical thinker fast learner and SQL natural who enjoys being a problem solver. The Senior Java Developer will be responsible for implementing new features fixing bugs and improving and refactoring code. Most of what you will do is web-related so many tasks will ask you to implement REST endpoints to help achieve business objectives and connect the dots on the web. However much of the teams tasks are also not strictly web-related and may challenge you in other ways (e.g. data analytics network communication database optimization etc.). You will have a lot of independence and agency while working but will communicate with other colleagues daily and often work with them directly to solve coding issues.   This role requires the ability to work on a feature from start to finish communicate about it and ask the right questions along the way. Being comfortable with Java and confidently writing code to be deployed to production servers are key functions of this role as well. In addition the ideal candidate will need to be able to tinker with Javascript code and wont be afraid to SSH into a server and change configuration files. This role lies within our Engineering department and reports to the Engineering Manager.   Bonfire employees are expected to embrace the Mission and Values we live together and apart:   Humble Ingenuity Trusting Partnerships Inclusive Cooperation Moral Courage Healthy Dissatisfaction   Bonfire is currently supporting a virtual work environment; however this is a contract position and is only open to candidates residing in European &amp; South American time zones.     ESSENTIAL RESPONSIBILITIES include but are not limited to:  Discuss and provide feedback to feature ideas Code test and document features following the A/C (acceptance criteria) provided by the Product team Debug and optimize new and existing code Discuss and provide feedback for development processes (be active during process retrospective meetings) Write automated unit integration and end-to-end tests Work independently and collaboratively with other team members Conduct code reviews for yourself and your peers Work on confirming bugs with the QA team Attend daily standup meetings and provide feedback about the progress youre making Attend meetings with the product team and the rest of the squad and discuss new features and way to develop themMINIMUM QUALIFICATIONS   High School Graduate Fluent in English (speak read write) Minimum 5 years of dev experience (regardless of the tech stack) Minimum 3 years experience with Spring Java and PostgreSQL Consistent access to a reasonably distraction free home work space with reliable access to high-speed internet and use of a smart phone/mobile device. Technologically savvy with strong computer skills and the ability to embrace and adapt to changes to technology that is critical to how we work.    ADDITIONAL DESIRED QUALIFICATIONS  Experience with JOOQ Experience with AngularJS and/or Angular Experience with AWS Experience with Terraform    WHY WORK AT BONFIRE? When team members all around the world were asked to find three words theyd use to describe Bonfire the most commonly shared values were: kind inclusive charitable supportive collaborative and passionate. Work here and help us guide people toward their full potential and possibility in support of a company thats trying to infuse the world with more of those values. In addition to leading purposeful work you will also benefit from our team member offerings:  Competitive compensation Remote work environment (We are a fully distributed team!) Flexible scheduling Year-round swag giveaways A positive culture and dynamic team environment The ability to help create a kinder planet An environment to grow your skills learn new technologies and to challenge yourself    ,2023-08-13,LATAM Europe,2023-08-13 11:26:01.172039
UX Design,https://remotive.com/remote-jobs/design/ux-design-1756635,We are in need of a freelance UX designer with strong skills in creating world-class user flows. The ideal candidate should have a strong UX portfolio have a willingness to learn and clear communication.   Responsibilities:  Creating best practice UX flows for product features Prototyping UX flows within Figma Collaborate with UX lead UI designers and developers Innovate on existing best practice to create magical experiences    Qualifications:  Proven experience building UX flows Advanced Figma design &amp; component skills Strong portfolio demonstrating required responsibilities Clear communication and teamwork skills    This is a remote freelance position and candidates can work from anywhere as long as they respond to requests in a timely manner. To apply please submit an application describing your relevant experience and showcasing your work. ,2023-08-13,Worldwide,2023-08-13 11:26:01.172041
