title,link,description,pubdate,location,timestamp
SimpleTexting Sales Specialist,https://weworkremotely.com/remote-jobs/simpletexting-sales-specialist,  Headquarters Miami Florida URL httpssimpletextingcom  Were seeking a hardworking Sales Specialist to help introduce potential customers to all that SimpleTexting has to offer This is an entrylevel position but prior experience working with customers is a must The ideal candidate is comfortable handling a high volume of conversations primarily via chat switching gears quickly and passionate about helping people We pride ourselves on amazing customer service In this role youd be the first point of contact for people new to SimpleTexting  About Us SimpleTexting is a SaaS company that makes it easy for businesses of all sizes to text their audience Our customers use us to send marketing campaigns important alerts and have twoway sales and customer support conversations Over the last decade weve helped countless organizations better communicate with the people most important to them We continue to set ambitious goals and are looking for someone who can help us meet them  SimpleTexting is proudly part of Sinch a leading global Communication Platform as a Service CPaaS provider offering messaging voice and video communication solutions to a large global customer base Sinchs APIs and platform deal with over 145 billion engagements annually Enterprise customers include 8 out of 10 of the largest US tech companies by market capitalization major airlines banks retail etail internet ridehailing parcel delivery companies and more   This Role Is For You If  You love to talk actively listen and get people excited about a new service Multiple chats and calls happening at once doesnt make you sweat You thrive in fastpaced environments Youre as comfortable hopping on the phone as you are writing super clear emails You dont just stop after answering the initial question asked but go above and beyond in discovering how best to help a customer You have no shame geeking out about business and technology  Salary Range 65k OTE Salary will be evaluated based upon experience   Key Responsibilities  Respond to email tickets online chats or phone calls to help potential SimpleTexting customers get signed up and started with the platform Explore the needs of potential customers and help them take the first step toward succeeding with SimpleTexting Qualify customers and get them connected with an account executive where appropriate Answer customer questions about how SimpleTexting can work for their business Become a SimpleTexting power user provide accurate valid and complete information by using the right methodstools Build sustainable relationships of trust through open and interactive communication Work with customer service manager to ensure proper customer service is being delivered Helping to write excellent help documentation  both for internal use and for our customers Go the extra mile to engage customers  The preferred candidate will be able to demonstrate the following skills and experience   Minimum Qualifications  English is your primary language Secondary languages are a plus At least 1 year of experience working with customers preferably in a sales role Demonstrable critical thinking communication and creative problemsolving skills Experience qualifying and evaluating customer needs Ability to learn new software platforms quickly Selfstarter positive attitude ability to continuously develop and adapt to a growing team Highly organized You can manage and prioritize several different projects Familiarity with chat and CRM platforms  Bonus Points  Bachelors degree preferably in a related field of study 2 years in customerfacing role preferably in a sales role Experience working in the SaaS industry  Our values of Dream big Win together Keep it simple and Make it happen are what make us successful on our journey to be the global leader in customer engagement for SMBs so people who feel a connection to these values and like the pace of a fastgrowing global company will easily fit into our team We are committed to building a company that empowers individuals from a diverse set of backgrounds to be their authentic self and bring their values into their work We know that the more diverse and inclusive we are the better our success will be In addition we offer the following benefits   Flexible working arrangements  Generous timeoff policy  take the time you need to operate at peak performance  Excellent medical benefits including multiple medical dental amp vision plans to meet your personal needs  Employee Assistance Program  Coaching and ongoing career development  If youre looking for your next opportunity in your career and want to work for a growing tech company then apply now   To apply httpsweworkremotelycomremotejobssimpletextingsalesspecialist,2023-06-05,NaN,2023-06-05 21:20:10.308309
saasgroup Sales Manager,https://weworkremotely.com/remote-jobs/saas-group-sales-manager,  Headquarters Europe  Remote URL httpssaasgroupcareers  Sales Manager Enterprise Clients Position Overview We are currently seeking an enthusiastic and motivated Sales Manager to join our tightknit growth team as we continue to innovate and develop cuttingedge web scraping solutions As a Sales Manager at ScraperAPI youll drive revenue growth by identifying and converting potential clients showcasing the value of our API and building lasting relationships Collaborating with our growth engineering team youll develop effective sales strategies in line with our mission This role is ideal for a proactive resultsdriven individual eager to make a significant impact in the web scraping industry within a rapidly growing company About the role Were excited to welcome a passionate Sales Manager to join our friendly and dynamic team at ScraperAPI In this pivotal role youll be at the forefront of our sales efforts kickstarting our sales department and working closely with the Head of Customer Success and our Marketing team to support our growing Enterpriselevel user base As a sales representative your key responsibilities will include Shaping and leading our outbound and inbound sales strategy through strategic outreach and research Acquiring leads and scouting for new customers to build and maintain a healthy pipeline of opportunities Collaborating with our Marketing team to align strategies and initiatives Fostering an environment of competitive and healthy dealmaking while sharing valuable insights to empower our Customer Success department Together well explore prioritize and qualify promising sales opportunities using our CRM system Join us at ScraperAPI where we believe in the power of collaboration and innovation and make a lasting impact on our journey towards successWhat you bring to the table Basic understanding of the product and the value proposition it generates for our clients A minimum of 3 years of professional experience in SaaS sales Ideally within the scraping industry but not required Proven history of outstanding sales performance Capability to work autonomously and take initiative Excellent command of the English language both in written and spoken communication Previous experience in conducting lead gen sales demos providing competitive quotes and deal closing What we offer  Ultimate flexibility Were 100 remote You can work from wherever you like whenever you like European timezone is strongly preferred  Freedom and autonomy Were a hightrust team and youll be given lots of independence to solve problems in your own way  with plenty of help from the team when you need it  Minimum bureaucracy We dont like to get bogged down with meetings and red tape We like to be efficient and keep momentum steady amp sustainable  Small amp friendly team We help each other out have fun and joke around  Unlimited paid time off We want you to recharge your batteries when needed  International Travel Meet with the team twice a year at off sites this year is in Barcelona  A team where people learn from each other fostering a supportive and collaborative work environment  A largescale product that customers rely on allowing you to make a real impact Revenuebased Bonus  To apply httpsweworkremotelycomremotejobssaasgroupsalesmanager,2023-06-05,NaN,2023-06-05 21:20:10.308383
OnTheGoSystems Junior Developer with a Passion for Technical Documentation,https://weworkremotely.com/remote-jobs/onthegosystems-junior-developer-with-a-passion-for-technical-documentation,  Headquarters 100 remote URL httpsonthegosystemscom  Looking to join a team of experienced developers work on an exciting project and grow your skills   OnTheGoSystems is searching for a junior developer who will be a jack of all trades Join us in building our Private Translation Cloud PTC a new tool for developers We are seeking a talented passionate and dedicated individual to join our team and contribute to software development architecture and technical documentationRole and ResponsibilitiesAs a junior developer at OnTheGoSystems you will have the opportunity to work on various aspects of our project Roughly 50 of your time will be dedicated to writing technical documentation ensuring that our product is welldocumented and easily understandable for users and developers alike The remaining 50 will involve handson work on the frontend and backend of the product contributing to its development and architectureOur Tech StackOur backend runs mostly on Ruby on Rails For the frontend we typically use React For internal tools we use Python And we encourage our developers to introduce the languages and tools that are best for each project we work onWork HoursOur development team gets together in the European morning 9AM Central European Time and collaborates during the day We work Mondays to Fridays Requirements Proficiency in RubyRails React or Python or a strong willingness to learn these languages and frameworks Experience in writing automated tests we prioritize thorough test coverage before merging any code changes Excellent English communication skills both written and spoken Previous professional experience is not a strict requirement however we value seeing your past projects or impressive personalacademic development initiatives At OnTheGoSystems we prioritize efficiency and encourage the use of AI tools to expedite writing and coding tasks Our lean team utilizes these technologies to accomplish a remarkable amount of work  If you are driven adaptable and eager to contribute to an innovative project while honing your skills this role is designed for youWhat we Offer 100 remote position Fulltime position with paid public holidays vacation and sick leave Being part of a team of highly talented and selfdriven individuals Ample opportunities to progress and advance Collaboration with team members from all around the world with different cultures and languages Join our team and embark on an exciting journey where you can make a difference while working alongside seasoned professionals  To apply httpsweworkremotelycomremotejobsonthegosystemsjuniordeveloperwithapassionfortechnicaldocumentation,2023-06-05,NaN,2023-06-05 21:20:10.308453
Studio North TV Freelance Writer,https://weworkremotely.com/remote-jobs/studio-north-tv-freelance-writer,  Headquarters Toronto Canada URL httpsthestudionorthtv   Studio North TV is currently seeking a Remote Freelance Writer to join our dynamic team This is an exciting opportunity for a creative motivated individual to produce engaging and informative content related to dance our platform and the global dance community  Key Responsibilities  Creating compelling and informative articles and blog posts related to dance and our platform Collaborating with our team to brainstorm and develop new content ideas Assisting in the creation of marketing materials and social media content Ensuring all content aligns with our brand voice and style guidelines  Qualifications  Proven experience as a content writer or similar role Excellent writing and editing skills in English An understanding of SEO principles and content marketing Familiarity with dance or a strong interest in learning about the dance industry Ability to work independently and meet deadlines Strong research skills and attention to detail  How to Apply  If youre passionate about dance and digital education and have a knack for storytelling wed love to hear from you Please submit your resume a cover letter and writing samples or a link to your portfolio to httpsformsglew6kKsNxCi2r3dyYB8  Studio North is an equal opportunity employer We celebrate diversity and are committed to creating an inclusive environment for all employees  To apply httpsweworkremotelycomremotejobsstudionorthtvfreelancewriter,2023-06-05,NaN,2023-06-05 21:20:10.308524
PR Volt Sales  Growth Lead 100 Remote,https://weworkremotely.com/remote-jobs/pr-volt-sales-growth-lead-100-remote,  Headquarters Santa Monica CA URL httpsprvoltcom  PR Volt is seeking a Growth and Sales Lead with strong operating ability to drive key growth and sales initiatives This Leader will be an early member of PR Volts marketing leadership Growth marketing contains 4 core functional areas that you will need to understand and champion to help us achieve aggressive revenue targets across our business demand generation lifecycle marketing performance marketing and inbound sales Were looking for a leader who is passionate about improving how brands achieve press coverage and enabling them to be successful at every stage of the customer journey The ideal candidate understands the fundamentals of business and marketing and can drive complex projects forward with crossfunctional teams You are highly organized with a bias for productivity and highly analytical with an ability to make decisions using both quantitative and qualitative data If you are an experienced growth marketer who is solutionoriented highly motivated and a proactive selfstarter wed love to talk to you    What Youll Do in this Role  Formulate the companys user acquisition strategy set and manage aggressive customer acquisition goals and implement initiatives to hit those goals Oversee sales strategy and execution including lead generation outbound sales and managing ales quotas Develop strategic acquisition and retention marketing plans to drive growth and maximize immediate and longterm ROI Continually optimize sales and marketing processes contribute to the development of the sales technology stack and manage all aspects of revenue planning Monitor analyze and report on KPIs to ensure marketing initiatives are driving profitable acquisition and use analytics tools to better understand customers Lead overall site conversion rate optimization develop and optimize landing page strategy and manage agency partners across SEO SEM content and ad creative Maintain and improve sales materials and collateral build and maintain a strong professional network and manage Sales Team quotas and commission plan payments  Requirements  38 years of direct growthfocused experience in digital marketing startup experience preferred Bachelors degree in Marketing Communications Business or a related field Experience building a comprehensive digital marketing strategy from the ground up and managing both paid FBIG Google etc and organic SEO content acquisition Proven experience in a salesfocused role with direct outbound sales lead generation and sales quota management experience Experience in a growthfocused role within the PR marketing digital media SaaS agency or ecommerce industry and experience working with or selling to consumerfocused SMBs  MidMarket Strong analytical skills datadriven mindset and ability to tell stories using data Proficiency in various marketing and analytics tools such as Google Analytics CRM systems Salesforce Hubspot Pipedrive and marketing automation platforms Strong project management and organizational skills with an understanding of the OKR framework Excellent interpersonal communication and presentation skills Ability to work effectively in a fastpaced startup environment being scrappy resourceful persistent and positive Generate positive energy with infectious enthusiasm passion and a drive for excellence    Benefits Were an ambitious smart and openminded team that is passionate about our mission Each day is unlike the last as were constantly moving forward challenging each other and working together to create the future of PR We want people to succeed at PR Volt so we give our people plenty of time off to relax and recharge Following are the primary benefits we offer  Health insurance taxfree reimbursement monthly stipend 15 days PTO  6 paid US holidays which do not count against PTO days Flexible work hours and location we are a remote 1st company and this is a remote role Working as part of a global business with a diverse team Opportunity to grow from the ground up with an earlystage startup Yearly 1500 allowance for technical equipmentwork accessories Annual holiday party and company retreat  To apply httpsweworkremotelycomremotejobsprvoltsalesgrowthlead100remote,2023-06-05,NaN,2023-06-05 21:20:10.308595
Scaffold Digital MidSenior Software Developer,https://weworkremotely.com/remote-jobs/scaffold-digital-mid-senior-software-developer,  Headquarters Belfast United Kingdom URL httpsscaffolddigital  At Scaffold Digital we are passionate about creating innovative digital experiences We are a team of creative thinkers and problem solvers dedicated to expanding the limits of what is possible by helping customers achieve their goalsWhat does the job involve In short We are seeking a talented and experienced midsenior level software developer to join our team In this role you will be responsible for designing developing and maintaining highquality software solutions that meet client requirements You will work closely with crossfunctional teams collaborating with designers product managers and fellow developers to deliver exceptional results Key responsibilities Develop test and deploy software solutions that meet project requirements and quality standards Collaborate with team members to design and implement efficient and scalable software architectures Participate in code reviews providing constructive feedback and ensuring code quality Mentor junior developers sharing knowledge and best practices to foster their growth Take ownership of assigned tasks and projects ensuring timely delivery and meeting project deadlines Stay updated with the latest industry trends and technologies continuously enhancing your skills  What type of person are we looking forFit our brand personality Good sense of humour Friendly positive and easygoing You will care about delivering quality solutions that produce meaningful value You approach problem solving methodically and pragmatically  Trustworthy  If you make a mistake youre the first to admit it  Progressive  Youre always learning and curious about different ways to approach a problem  Collaborative  You will be keen to work with and help others as part of a closeknit team  Experience Solid experience in software development with expertise in PHP Preferable with Laravel amp Angular experience Proven track record of successfully delivering software projects on time and to specifications Strong problemsolving and analytical skills with the ability to troubleshoot complex issues Excellent collaboration and communication skills with the ability to work effectively in a team environment Leadership potential and a desire to grow into a team lead role in the future  The benefits of joining our team We are a remotefirst team with a base in Belfast Northern Ireland Hybrid working and with local team meetups at Ormeau Baths Belfast  Northern Ireland Annual international company retreat Salary negotiable depending on experience Flexible working hours based on a 375 hour week Opportunities to learn and advance your skills with a team of likeminded people  To apply httpsweworkremotelycomremotejobsscaffolddigitalmidseniorsoftwaredeveloper,2023-06-05,NaN,2023-06-05 21:20:10.308666
Barn2 Plugins SEO  Marketing Manager,https://weworkremotely.com/remote-jobs/barn2-plugins-seo-marketing-manager,  Headquarters United Kingdom URL httpsbarn2com  Barn2 Plugins is seeking a datadriven SEO and Marketing Manager to join our growing team In this remote role you will have the flexibility to choose your hours and work from anywhere You will be responsible for improving our companys search engine performance conducting data analysis to inform marketing decisions and executing a range of handson marketing tasks to drive growth You will work closely with our small marketing team which includes the CEO a designer video producer a marketing agency and a network of freelance writers If you have a background in SEO data analysis and digital marketing wed love to hear from you Our overall marketing strategy will be developed in partnership with the marketing agency and you will take a lead role in the delivery and ongoing evaluation of this strategy You will also be on the constant lookout for new opportunities to further grow the company This is a permanent fulltime position working remotely from your own location  Things youll be doing SEO analysis and performance  Maintain an active overview of the companys SEO performance working with the marketing agency to constantly find opportunities for improvement and implementing changes as needed Produce and analyze monthly reports on sales performance customer retention SEO metrics and other key indicators to share with the broader team and inform strategic planning  SEO content  Develop a consistent brand voice for all the companys written communications and work with all the relevant team members to ensure that this is used across all platforms Alongside our marketing agency maintain and help monitor a database of the companys existing content with all the required data to monitor ongoing performance and spot opportunities for improvement Update and rewrite existing blog posts to focus on different keywords or to reflect recent changes in the plugin andor work with a freelancer to arrange these tasks Oversee the creation and upkeep of a content calendar as proposed by the marketing agency including providing feedback and approval while monitoring performance to ensure everything is on track Work with freelance writers and other team members to implement required changes to content such as updating keywords improving readability and optimizing for search engines Monitor the impact of content updates and changes working with the marketing agency to continually optimize performance Perform outreach and link building opportunities such as arranging guest posts link building and other types of collaboration  Conversion optimization Collaborate with the web developer to perform AB tests to increase conversions on product pages landing pages and email campaigns Handson marketing tasks  Collaborate with the marketing agency to develop implement and monitor our email marketing strategy This includes newsletters and automated email marketing campaigns both pre and postpurchase and involves developing and implementing strategies to increase the number of email subscribers optimizing signup forms and creating engaging lead magnets Prepare amp schedule social media updates using social media management tools ensuring consistent posting and optimal timing for maximum engagement Analyze and monitor the companys Facebook ads optimizing targeting bidding and ad creatives to improve performance and maximize ROI Assign new blog post outlines provided by the marketing agency to freelance writers ensuring they have a clear understanding of the requirements and deadlines Review and provide feedback on submitted work from freelance writers checking for quality proofreading and correct formatting prior to publication Work with the designer to write and edit copy for product pages ensuring accurate and engaging descriptions of plugin features and benefits  Partnerships and collaborations  Build relationships with influential industry leaders to raise awareness of our plugins Research and identify potential strategic partners reaching out to initiate conversations and exploring mutually beneficial opportunities Attend relevant industry events webinars and conferences as appropriate to network with peers learn about new developments and represent Barn2 Plugins in the wider community  You will need Essential skills and experience  2 years of experience in SEO and data analysis preferably in the software or tech industry Proven track record of improving search engine rankings and driving organic traffic growth Strong analytical and problemsolving skills with the ability to interpret data and make datadriven recommendations Proficiency in using SEO tools such as SEMRush Moz and Google Analytics Perfect written English If English is not your first language then your written English must be nativesounding Ability to write copy that drives outcomes translating technical software features into benefits Ability to write in a relaxed but professional tone that reflects the Barn2 brand Excellent attention to detail with no errors or spelling mistakes Excellent attention to detail and the ability to work on multiple projects simultaneously Selfstarter with a strong work ethic and the ability to work independently and as part of a team Willingness to work remotely and manage work hours flexibly  Desirable skills and experience  Formal qualifications in SEO and marketing Basic experience of working with the WordPress CMS  for example creating a WordPress site managing content or installing plugins Experience marketing WordPress plugins or similar software products Familiarity with email marketing best practices and tools such as Mailchimp Experience in managing and optimizing Facebook ads or other paid advertising platforms Experience of using Google Optimize or other AB testing tools to test the effectiveness of your work eg testing headlines and calltoaction placement Experience of Pay Per Click advertising such as Google AdWords and Facebook Ads Networking skills with the ability to perform effective outreach and link building work nurturing relationships with influential bloggers and colleagues from other companies  How your role could develop This position offers the opportunity for growth into broader business development and strategic roles as your contributions to the company become evident over time Our small yet thriving company has the flexibility to provide plenty of scope for role progression  Youll report to Your direct line manager will be Katie our CEO You will also work collaboratively with colleagues at all levels in particular our marketing agency and other members of the inhouse marketing team We will work with you to make sure you have everything you need to be successful in this role  Working arrangements  Full time position 40 hours per week Fully remote working Working with a minimum 3 hours overlap with European time  Salary We are committed to recognizing and rewarding our marketing professionals for their proven value to the company This position offers a competitive salary range of 35000 to 60000 USD annually To receive an offer at the upper end of the range you would need to be very strong in all of the Nice to have criteria If you start lower down in the salary range then we will provide a clearly defined and guaranteed roadmap to increase your salary up to the top of the range This roadmap comprises specific quantifiable milestones that serve as targets for your growth and achievements With no minimum time requirement for progressing along this pathway you will be promptly rewarded upon meeting each milestone  Benefits We offer a flexible benefits package The exact details will depend on your location  Remote working with a flexible work schedule that values worklife balance 25 days holiday or your countrys legal minimum if this is higher Performancerelated annual bonus Yearly budget of up to 1000 to attend WordCamp conferences Access to paid training A friendly supportive and openminded team culture where we encourage sharing opinions and feedback Plenty of scope for personal and professional development  We are committed to being an industryleading place to work and beat industry benchmarks in a recent team experience index survey from TeamWP In particular team members praised our commitment to achieving a positive worklife balance remote work positivity and respect and quality products  To apply httpsweworkremotelycomremotejobsbarn2pluginsseomarketingmanager,2023-06-05,NaN,2023-06-05 21:20:10.308743
Punchbowl Senior DevOps  SysOps Developer,https://weworkremotely.com/remote-jobs/punchbowl-senior-devops-sysops-developer-1,  Headquarters Framingham MA URL httpswwwpunchbowlcom  Punchbowl is looking for a Senior DevOps  SysOps Engineer to join our growing team As a Senior DevOps  SysOps Engineer you will lead the ops team to manage and improve the AWS web infrastructure used by Punchbowlcom You will be responsible for ensuring site reliability monitoring and enhancing the observability of key systems security reliable deployment of services disaster recovery planning and CI Additionally you will have the opportunity to work closely with the development team to improve our processes and our Ruby on Rails applications and servicesOur team values uptime stability scalability and reliability  and as a key member of our team you will have the opportunity to learn and apply new technologies to meet these needs as we growYou are An expert of Linux systems administration covering security maintenance backups disaster recovery storage management monitoring etc Ubuntu Experienced with AWS infrastructure management experience EC2 VPC S3 ELB CloudFront Route53 RDS ElastiCache An expert in command line and bash scripting skills Experienced with database administration MySQL MongoDB Knowledgeable in infrastructure configuration management tools Terraform Chef Experienced in how to use and maintain monitoring logging amp observability tools ELK stack Grafana Prometheus Nagios Knowledgeable of systems and networking DNS SSL SMTP SSH VPN Wellversed in web infrastructure management HAProxy NGINX understanding of HTTP Familiar with Docker containers CICD automation Comfortable with AWS Lambda Fargate ECS DynamoDB Aurora CloudWatch EKS Experience with the Nodejs ecosystem You will Prioritize and resolve live issues appropriately Manage plan and execute system and software updates and upgrades when needed Manage application deployments in coordination with the development team Maintain and improve our monitoring systems to preempt issues that may affect our live environments Investigate and implement system improvements Maintain and improve system documentation and runbooks Plan and implement disaster recovery and backup plans on AWS About PunchbowlDo you want to work in a growing company that invests in its employees more than the average company Punchbowl is the company behind the criticallyacclaimed technology platform for celebrations holidays and meaningful life memories The Company runs its platform on Punchbowlcom Mementocom and bestinclass iOS and Android apps We provide a fun casual and innovative environment where hard work is recognized and rewardedSome Punchbowl Perks 100 healthcare coverage Flexibility to work from wherever you will be most effective A collaborative startup environment where youll learn a lot get your hands dirty and see your work directly impact our customers Fantastic smart coworkers who are passionate about what they do Virtual team coffee chats Friday team trivia challenges and anything else we can think of to have fun as a team PLEASE NOTE Our team is primarily based in Framingham MA and London ON We will consider applicants who reside anywhere in the United States or Canada who are willing to work East Coast Hours roughly 9am530pm EST To apply httpsweworkremotelycomremotejobspunchbowlseniordevopssysopsdeveloper1,2023-06-05,NaN,2023-06-05 21:20:10.308816
Amazowl Amazon Ecommerce Client Account Manager,https://weworkremotely.com/remote-jobs/amazowl-amazon-ecommerce-client-account-manager,  Headquarters Dublin Ireland URL httpswwwamazowlcom   Amazowl is a fullyremote global Amazon Marketing AgencyWere seeking an Amazon Ecommerce Client Account Manager for a fulltime contract roleJob RoleYou will manage a portfolio of Client Accounts and drive their performance and results on Amazons global marketplacesRequirements  Solid understanding of Amazon PPC a must Solid understanding of Amazon Content management Very comfortable conducting regular client progress update calls  Attention to detail is crucial Reporting analysis amp generation Ability to manage many accounts across very different client verticals  100 Fluent spoken amp written English is a must   Job Benefits   Fullyremote company Extremely flexible working hours Leadership roles available  HOW TO APPLYIMPORTANT Please include a summary of your Amazon client account management experience   To apply httpsweworkremotelycomremotejobsamazowlamazonecommerceclientaccountmanager,2023-06-05,NaN,2023-06-05 21:20:10.308887
Salesmsg Customer Success Manager,https://weworkremotely.com/remote-jobs/salesmsg-customer-success-manager,  Headquarters Delray Beach FL URL httpswwwSalesMessagecom  At Salesmsg we believe that having conversations is good for business And the easiest fastest and most effective way to create conversations is with SMS text messaging Salesmsg is the leading conversational messaging platform for sales marketing and support teams Ranked 27th on Inc 5000 Fastest Growing Companies in America in the Southeast and the 1 SMS App on HubSpot Salesmsg is a fastgrowing SaaS platform that helps thousands of businesses to attract engage convert and care for their customers over SMS text messaging We have big goals for our platform to become   The leading allinone global messaging platform for sales marketing and support We are well on our way however to get there we need your help This is an amazing opportunity to join a fast growing startup get experience in many facets of the business and build your career     THE ROLE   We are seeking a fun and dynamic individual to join our growing team as a Customer Success Manager CSM at Salesmsg As a CSM you will play a crucial role in being the face of Salesmsg to our customers You will be the primary relationship owner advisor and resource for our customers guiding them on how to best utilize Salesmsg to achieve their goals From demonstrating the softwares functionality to creating engaging Loom video demonstrations on integration and addressing billing issues you will have the autonomy to support our customers from anywhere   RESPONSIBILITIES   1 Customer Relationship Management Build strong relationships with key stakeholders within customer organizations including executives managers and endusers Act as the primary point of contact for customer inquiries issues and escalations ensuring timely and effective resolution Conduct regular checkins and business reviews with customers to assess their satisfaction address concerns and identify opportunities for growth 2 Customer Onboarding and Adoption Collaborate with the sales and implementation teams to ensure a smooth onboarding process for new customers providing guidance and support to drive successful product adoption Develop and deliver training programs webinars and resources to educate customers on product features and best practices enabling them to maximize the value of our SaaS platform Proactively monitor customer usage and engagement identifying potential roadblocks or areas for improvement and developing strategies to drive increased adoption and product utilization 3 Customer Success Planning Collaborate with customers to develop and maintain customer success plans outlining their goals key performance indicators KPIs and strategies for achieving desired outcomes Conduct regular business reviews with customers to track progress against success plans identify opportunities for improvement and recommend additional products or features that align with their evolving needs 4 Renewals and Upsells Drive customer retention and expansion by proactively identifying upsell and crosssell opportunities based on customer needs and usage patternsWork closely with the sales team to renew customer contracts negotiate pricing and ensure a seamless transition between renewals Collaborate with the product management team to gather customer feedback and insights helping to shape the product roadmap and prioritize new features and enhancements 5 Customer Advocacy Serve as the voice of the customer within the organization providing feedback and insights to inform product development marketing strategies and customer support processes Act as a customer advocate ensuring their needs are understood and represented across all levels of the organization Identify and promote customer success stories and case studies to showcase the value and impact of our SaaS platform     SKILLS   Heres a taste of some of the things we require for you to be successful in this role   EXCELLENT written and verbal communication Resourceful and can figure things out Quick learner Selfmotivated Experience using similar tools like Intercom and HubSpot Ability to work independently while managing multiple projects simultaneously Providing amazing demos Able to understand a prospects business and problems they need to solve Curious with a growth mindset     OUR CORE VALUES   We Figure It OutWere a startup Stuff will break and things will not work as you want them to You will hit barriers and blocks keeping you from getting done what you said youd do You are the type of person that come hell or high water will figure it out This is fun for you Seek Continuous ImprovementWe pursue GREATNESS Theres a wealth of knowledge in books articles videos courses training events and everywhere you look Just Google it If you cant figure it out yourself trust me someone else already has for you Were resourceful and go deep to learn the best strategies Keep it Real amp ConversationalSeeing things for how they truly are gives us power In fact we have be real in order to survive and thrive We have to speak truthfully and honestly because if we dont things go unsaid animosity stirs and resentment takes over Its debilitating for high performance teams to win Speak truthfully and keep it real Call it like it is Provide solutions not problems People First MindsetAs we seek to constantly improve we realize that the best answers to many of the opportunities to grow products to create and partnerships to solidify come from our customers Helping the customer achieve success is our ultimate goal and through that we find new ways to make our product and team better Be Like Water FlexibleThe road is never straight and there will be twists and turns and bumps and stops We all need to row in the same direction to work together and get things done Dont make it harder than it has to be If it takes a few minutes hook a brother up Dont battle We win together not apartOkay with that out of the way lets get into what this role will look like for you    HOW WE WORK   Were a Remote First company with a global team of developers designers success sales and marketing members from around the world Our team is spread across the USA Europe and Asia Florida Colorado Wisconsin Texas Utah California Bosnia Herzegovina and Belarus We love planning amp executing So each year we get together for a retreat to work backwards to create our Annual Aim Quarterly Rocks Monthly Outcomes Weekly Goals and Daily Tasks Its not perfect but its good enough for now You can help improve this too Work hard and play hard Life and work doesnt have to be so hard The environment we created is fun relaxed yet backed up by results  EMPLOYEE BENEFITS    Remote work Work from anywhere  Team trips We book at least one allexpensespaid team trip per year  Unlimited paidtime off Need time off just let us know  Wellness perks Classpass access to 41500 studios worldwide yoga cycling Pilates Barre running strength training dance sports videos and more  Books and Courses A monthly budget of 100 to spend on books Plus access to over 10 courses already across marketing content creation SEO and more  Focused time blocks We discourage meetings before noon so employees can have undistracted time to work  Two week Sprints Two weeks of sprinting on focused work  Bonus structure Potential bonuses based on performance  250 Charity Donation We will donate to any charity of their choice  BiWeekly Paychecks Get paid ontime every other Friday  Swag TShirts stickers and Salesmsg gear to kit you out  Medical Dental and Vision Insurance Personal health dental and vision 50 covered after 30 days  Teledoc Virtual Health Speak directly with a doctor anytime from anywhere  TalkSpace Online Mental Health Therapy Weve got you covered for when you need help  Incredible Growth and Promotion Opportunities Ground floor opportunity to make your mark  Still here Good So there you have it Are you a match Do you want a REAL challenge Then we encourage you to apply for this role at Salesmsg  To apply httpsweworkremotelycomremotejobssalesmsgcustomersuccessmanager,2023-06-05,NaN,2023-06-05 21:20:10.308962
