title,link,description,pubdate,location,timestamp
Director of Administration,https://tryremotely.com/remote-jobs/hypebeast-director-of-administration-25610,Hypebeast Ltd started from a sneaker website founded by Kevin Ma in 2005 to a publicly listed media company in 2016 With a total reach of over 405M users across all platforms The media group boasts a global readership across Asia Pacific North America Europe and more with the flagship platform available in five languages The group has expanded its publishing brands to a wider scope in recent years encompassing Hypebeast and its multiple content distribution platforms ecommerce store HBX and agency HYPEMAKER Hypebeast Ltd has been featured in Forbes Asias 200 Best Under A Billion in 2020 The Director of Administration serves as a central leader of office operational excellence reporting to the Chief Operating Officer and working with firm and office leaders to ensure consistent delivery of best in class service to our firm and clients The Director of Administration provides leadership and oversight to the local office administrators and is responsible for ensuring operational effectiveness for our eight offices serving as the point person for flow of information upstream to the CEO and downstream to the MFAs Managers of Facilities and Administration The Director of Administration provides oversight for real estate matters including lease negotiations facility design construction and contracts and is a key stakeholder for vendor relationships Responsibilities Lead and manage the Companys Managers Facilities and Administration to develop consistent best practices for local service and support across the firm Serve as a coach role model and mentor to direct reports by setting goals providing development opportunities and managing projects Work closely with direct reports to identify evaluate and address employee relations morale work performance development and productivity opportunities and concerns Serve as a business partner and trusted advisor to the CEO as well as other leaderships including local Office Heads Provide regular analysis and evaluation regarding office operational opportunities and issues as well as industry and competitive conditions Plan and implement short and longterm organizational strategies in areas of responsibility to maximize office operational efficiencies Regularly evaluate support functions and updates processes and procedures as necessary Serve as a consensus builder to ensure consistency in the delivery of highquality support and services and the application of best practices across all offices Prepare and manage the firms annual office operations budget in conjunction with key stakeholders including the approval and control of expenses Work collaboratively with key stakeholders to oversee the firms real estate portfolio including developing space planning models identifying facilities options negotiating letters of intent negotiating lease terms and overseeing lease administration Serve as point person to oversee the management of real estate projects through design fit out and occupancy Responsible for developing and managing project budgets and collaborating with local Office Heads Lead the Companys local procurement efforts Negotiate and manage significant vendor contracts to create cost effective delivery of highquality office operations products and services Ensure the Companys compliance with applicable health building zoning and safety licensing and certification requirements as well as the firms procedures and policies Requirements Because this position supervises and supports an entire team of managers and administrators it requires outstanding interpersonal and leadership skills 10 years of experience in office operations management including managing and leading large teams globally Seven plus years of experience managing real estate projects in commercial environments and warehouse for professional services Company including vendorconsultant selection and management in a multioffice environment Demonstrated experience in current best practices for space design and programming including sound environmental and wellness solutions The Director of Administration salary typically ranges from 115000 to 135000 plus discretionary bonus compensation Your actual compensation will be determined based on your skills qualifications and experience Additional Information If you think youve got what it takes please provide your cover letter CV and expected salary This position is based inNew York Candidates must be eligible to work in theUnited States Personal data collected is for recruitment purposes only,2023-06-21,,2023-06-21 12:52:23.962460
"Manager, Customer Success Managers (Commercial)",https://tryremotely.com/remote-jobs/gitlab-manager-customer-success-managers-commercial-25609,The GitLab DevSecOps platform empowers 100000 organizations to deliver software faster and more efficiently We are one of the worlds largest allremote companies with 2000 team members and values that foster a culture where people embrace the belief that everyone can contribute Learn more about Life at GitLab GitLab is a hiring a Manager Customer Success Managers to oversee our Named Commercial CSM team in North America The Customer Success Management CSM team focuses on the themes of align enable and expand We align with customers desired business outcomes enable them on their existing use cases and work with them to expand into additional use cases ensuring ongoing and everimproving customer returnoninvestment Additionally our team serves as liaisons between the customer and the GitLab ecosystem streamlining collaboration with Product Management Engineering Sales Professional Services and others To learn more please see the CSM handbook Responsibilities Mentor and enable the Commercial CSM team to exceed company growth and retention forecasts Work with the Customer Success Director to help establish and manage goals and responsibilities for CSMs Manage a team of highly motivated customerfocused CSMs to manage the overall health and care of key accounts eg onboarding customers stage adoption executive business reviews and successful renewals Ensure the CSMs exceed Gitlab expectations in core knowledge communication and execution Challenge the team and yourself to learn and grow as trusted advisors to customers continually Provide leadership and guidance to coach motivate and lead the team members to their optimum performance levels and career development providing timely feedback and development assistance Manage resource assignments and staffing levels including recruitment as needed Identify and implement improvements to the processes and tools used Develop seniorlevel relationships with customers Partner with other team leaders to ensure the customer is supported in times of escalation Develop strong relationships with Engineering and Product to ensure cohesion and shared understanding of goals initiatives Oversee initiatives set forth in OKRs Work together with the other managers to execute strategies and vision with the Director Represent Gitlab leadership and reflect our Gitlab values in internal and external interactions Requirements Proven track record in softwaretechnology sales or consulting Proven experience leading teams driving software adoption and building and scaling customer success management practices Experience with software development lifecycle processes and tools as well as agile andor DevOps practices Knowledgeable with cloud technologies eg Kubernetes Docker application security SAST DAST andor cloud deployment models AWS GCP Azure is a plus Proven ability to develop strategies translate them into initiatives and track successful delivery Demonstrated ability to lead managers and successfully manage global distributed teams across cultures lines of business and geographies Possession of a strong management presence and leadership ability with communication and interpersonal skills that inspire and motivate leaders and teams Demonstration of operational excellence in analytical thinking process development and improvement problemsolving communication delegation and planning Ability to collaborate across the organization and with external stakeholders Experience successfully working with senior Clevel executives Holds strong operational skills that will drive organizational efficiencies and customer satisfaction Comfortable giving and receiving positive and constructive feedback Ability to connect technology with measurable business value Strategic thinking about business products and technical challenges Hiring Process Selected candidates will be invited to schedule a screening call with our Global Recruiters Next candidates will be invited to schedule a first interview with the Director of Commercial CSM Candidates may be invited to schedule an interview with a Manager peer Then candidates will be invited to present a 306090 day plan to a panel of interviewers Candidates may be invited to additional interviews with executive leadership Successful candidates will be made an offer after references are verified Additional details about our process can be found on our hiring page LIDNI The base salary range for this roles listed level is currently for residents of listed locations only Grade level and salary ranges are determined through interviews and a review of education experience knowledge skills abilities of the applicant equity with other team members and alignment with market data See more information on our benefits and equity Sales roles are also eligible for incentive pay targeted at up to 100 of the offered base salary ColoradoWashington pay range 107100 206500 USD CaliforniaNew YorkNew Jersey pay range 107100 229500 USD Country Hiring Guidelines GitLab hires new team members in countries around the world All of our roles are remote however some roles may carry specific locationbased eligibility requirements Our Talent Acquisition team can help answer any questions about location after starting the recruiting process Privacy Policy Please review our Recruitment Privacy Policy Your privacy is important to us GitLab is proud to be an equal opportunity workplace and is an affirmative action employer GitLabs policies and practices relating to recruitment employment career development and advancement promotion and retirement are based solely on merit regardless of race color religion ancestry sex including pregnancy lactation sexual orientation gender identity or gender expression national origin age citizenship marital status mental or physical disability genetic information including family medical history discharge status from the military protected veteran status which includes disabled veterans recently separated veterans active duty wartime or campaign badge veterans and Armed Forces service medal veterans or any other basis protected by law GitLab will not tolerate discrimination or harassment based on any of these characteristics See also GitLabs EEO Policy and EEO is the Law If you have a disability or special need that requires accommodation please let us know during the recruiting process,2023-06-21,United States Canada,2023-06-21 12:52:31.738063
Senior Frontend Engineer,https://tryremotely.com/remote-jobs/gradle-senior-frontend-engineer-25608,At Gradle Inc our mission is to transform how software is built and shipped Our technology helps companies to develop their software significantly faster and more reliably We are the company behind the Gradle Build Tool one of the Top 20 Most Popular Open Source Projects for IT used by millions of Android and Java developers Our commercial product Gradle Enterprise has set new standards in software development and is used at companies like LinkedIn Google Netflix SAP and most valuable technology and Global 1000 companies from around the world As such Gradle is one of the fastest growing startup ventures based in Silicon Valley Job Responsibilities We are looking for a highly motivated and skilled Sr Frontend Engineer who is experienced in backend and frontend development for a growing SaaS company Our current website runs on Wordpress and all candidates should be very familiar with working on all aspects of this ecosystem as well as working on laying the groundwork for future growth and more robust frontend architecture You will need to help usher in a new era of web development through modern frontend technologies from implementation to testing to backend integration This is a strong startup environment and you need to be excited to own and drive efficiency for our web property We would like someone who is proactive in monitoring our various websites and be able to make adjustments as needed This role will produce frontend pages from designs create new page templates Design System implementation and maintenance via Storybook optimize site speed performance security reliability server hosting optimization and sourcerecommended plugins as needed Frontend development Collaborate with product marketing designers and content development teams to implement topoftheline clean and usercentric interfaces and webpages and improve our overall user experience You have a confirmed ability to design implement refactor and extend highly performant scalable resilient reliable system Write clean efficient and maintainable code for reusable frontend web components Proficiency in utilizing design tools such as Figma to collaborate effectively with designers and translate design concepts into functional web interfaces Make updates and edits to existing pages Experience implementing maintaining and updating a responsive component library and design system in Storybook in collaboration with the Design team Ability to create and leverage templates for landing pages launch new microsites and implement modern frontend web experiences Troubleshoot and debug issues that arise in development testing and production environments Achieving effective responsive design throughout our web properties Familiarity with PHP templating engines specifically Twig and Timber Experience with frontend build tools like Webpack Gulp or Grunt Familiarity with frontend performance optimization techniques Knowledge of crossbrowser compatibility issues and ways to work around them Knowledge of Bootstrap and or Foundation frameworks and their grid system components and utility classes for building responsive web pages Proficiency in leveraging SassSCSS architecture to create a scalable and componentbased CSS framework allowing for easy style reuse and maintenance Experience in custom theme development for WordPress including building themes from scratch and modifying existing themes to meet specific requirements Proficiency in developing custom WordPress plugins to extend the functionality of WordPress websites following best practices and coding standards Backend development Optimize site performance and speed Maintain security and backups for our website properties Ongoing review and maintenance of the WordPress Instance core plugins etc implementing updates Research recommend and source plugin solutions for our web domains Implement technical SEO requirements Experience with version control systems such as Git Ability to troubleshoot and debug issues related to RESTful API integration Experience in optimizing WordPress websites for performance including caching mechanisms image optimization asset minification and serverside optimizations Minimum qualifications 710 years of web development experience Demonstrated ability to work with WordPress and Website Hosting Platforms including custom themes page template designs development and deployment Strong knowledge of creating and maintaining a responsive component library using Storybook or similar platform Strong proficiency with React React Native HTML CSS Sass JavaScript and PHP Experience working with teams to implement Google tag manager Google Analytics and marketing attribution best practices Working proficiency and communication skills in written and verbal English Preferred qualifications Experience with AB testing methodologies and tools to conduct experiments analyze data and optimize web pages for improved user engagement and conversion rates Experience improving  maintaining web accessibility standards Familiarity with Pardot marketing automation tools as it relates to web forms landing pages email templates UTM tracking and lead capture to ensure proper lead flow from website to CRM Systematic problemsolving approach coupled with effective communication skills Interest and ability to learn in a scaling startup environment What we offer Close collaboration with remote colleagues distributed across the globe Attractive compensation and benefits package Ability to learn and grow as part of a scaling teamcompany Location Remote USA Compensation We offer competitive salaries and equity grants to all team members The US salary range for this position is 150000 to 210000 USD and reflects the target ranges for all US locations Within this range individual pay is determined by geographic location and additional factors including but not limited to experience relevant skills qualifications seniority performance and travel requirements Our recruiting team can share more information about the specific salary range for your location during the hiring process How to apply The following is required with your application Please include a cover letter along with your resume and describe why you believe youd be a great addition to the team About us We are committed and skilled software engineers product designers and marketing experts who are passionate about developer productivity We take pride in delivering products that are relied upon daily by some of the worlds leading software organizations such as Netflix LinkedIn Airbnb Spotify Twitter and Atlassian We are a diverse and inclusive workplace with a global multicultural team that learns from and respects each other We are committed to advancing diversity and inclusion forward by investing resources in companywide inclusion training improving recruitment processes and contributing to groups that are committed to advancing racialsocial justice and equality Gradle is an equal opportunity employer We welcome people of different backgrounds experiences abilities and perspectives and consider all qualified applicants without regard to race color national origin citizenship status gender gender identity or expression sexual orientation religion disability age or any other applicable characteristics protected by law Visit our careers page to learn more about the company and see other open positions Visit Glassdoor to read what current and former Gradle employees have to say about the company Privacy Notice For information about our collection use and disclosure of applicants personal information as well as applicants rights over their personal information please see our Job Applicant Privacy Notice,2023-06-21,United States Canada,2023-06-21 12:52:38.786056
Art Director,https://tryremotely.com/remote-jobs/hypebeast-art-director-25607,HYPEMAKER is a creative studio providing total creative solutions for a diverse set of verticals in fashion lifestyle automotive tech CPG and more From ideation content amplification creative production and data analysis brands will also have access to HYPEBEAST Ltds targeted global distribution network who are passionate about fashion lifestyle and culture HYPEMAKER are looking for an Art Director who enjoys working in a fast paced environment and loves the challenge of discovering what engages consumers You will cooperate with the creative team to devise an overall concept You will report directly to the Creative Director and closely work with our creative and brand partnership team Art Director will seek to influence changes in audience behavior through ideas creativity and the use of media and to manage all aspects of graphic design Responsibilities Manage the campaign or project from planning design execution and delivery Understand the design challenges of individual campaigns or projects and be able to provide creative solutions Collaborate openly with various disciplines and teams to produce high standards of finished work in a timely and costeffective manner Create and produce interactive design solutions Be selfmotivated and hardworking able to work independently both effectively and efficiently Maintain a superior knowledge of the latest technology Requirements 4 years of relevant experience especially in agency as an Art Director or other equlivent positions Exceptional portfolio of digital designs work experience from the fashion industry is a plus Ability to work with videographers and photographers on execution Experience with design applications eg Adobe Photoshop Illustrator Adobe Premiere Know how to develop visual direction and concept for advertising campaigns Understanding of street culture and HYPEBEASTs aesthetics and branding Additional Information If you think youve got what it takes please provide your cover letter portfolio CV and expected salary This position is based and located in Seoul Candidate must be eligible to work in South Korea Personal data collected is for recruitment purpose only,2023-06-21,Seoul,2023-06-21 12:52:44.800455
"Senior Product Manager, Help Experience",https://tryremotely.com/remote-jobs/eventbrite-senior-product-manager-help-experience-25606,THE CHALLENGE Eventbrites customer base is growing and evolving and we need our help experiences to grow and evolve too We want every customer on our platform from a single ticket buyer to the largest event creator on our site to be empowered with the knowledge and resources they need to be successful on Eventbrite Were committed to providing the best possible experience with both reactive and proactive strategies for helping our customers wherever they are This is where you come in To help us deliver on this ambitious vision were searching for a Sr Product Manager whos excited to build a leadingedge customer experience that becomes a differentiator for our business Sound like you Lets talk THE TEAM The Service Design team is obsessive about building help experiences that are effective intuitive and easy to access Were focused on improving Eventbrites support strategy methodology and approach through content and AI to create a scalable customer service experience worldwide Were a driven multidisciplinary team youll work with experts in content design and engineering as well as leaders across business units to bring enhanced help experiences to life This role requires a keen understanding of integrating with both support and product organizations as well as the ability to collaborate successfully in crossfunctional teams THE ROLE Were searching for an innovative product lead to help us reimagine and transform Eventbrites help experience Youll work with our team to define our strategy and roadmap and lead execution to build an exceptional customer experience that leverages technology and content to drive the success of our customers Part of your work will be to develop a deep understanding of our customers and make datadriven product decisions supported by both metrics and user research Youll also be part of transformational crossfunctional initiatives focused on building solutions to meet the needs of our customers throughout their journeys YOU WILL Define articulate and execute against the product vision and strategy for the help experience based on a deep understanding of customer needs emerging technologies and market trends Lead our team in the ideation research design development and launch of new features and functionality that enhance the customer experience and drive customer success Collaborate closely with leadership and crossfunctional product teams to prioritize features measure success and ensure successful execution of our goals Clearly define product requirements success criteria and metrics Conduct experiments and leverage datadriven insights and user research to inform product decisions THE SKILLSET 4 years of product management experience Passion for creating exceptional user experiences Customercentric development approach and deep empathy for customer needs Strategic thinker with excellent analytical and problemsolving skills and the ability to thrive in a fastpaced dynamic environment Selfstarter with proven track record of execution and results that solve customer problems Proven ability to work crossfunctionally collaborate influence drive consensus and work as part of a team Datadriven approach with the ability to leverage data and research to make decisions Experience with developing and tracking core KPIs analyzing and reporting on data insights and running AB tests and experiments is key An exceptionally proactive communicator with excellent written and oral communication skills BONUS POINTS Experience in customer support or working with support stakeholders and teams Strong background in experimentation and analysis Passion for live events frequently attending events and buying tickets online Additional Information WHAT WE OFFER We are committed to providing competitive valuable and meaningful benefits for our Britelings We work hard to cultivate a diverse equitable and inclusive culture where Britelings feel like they belong Employees can participate in resource groups and we offer programming throughout the year to support a diverse and inclusive workplace Read more about our Diversity and Inclusion work for our team culture and communityWe offer comprehensive benefits and a wellness package above and beyond standard medical benefits to support our Britelings lifestyle Eventbrites global benefit programs are designed to meet you where you are by offering resources and support for your health wellbeing finances and family This includes support in a remotehybrid environment wellness allowance Carrot family planning benefit Origin Financial Planning service and other offerings to ease the mind and body like Modern Health and BriteBreaks generally the first Friday of every month off ABOUT EVENTBRITE Eventbrite is a global selfservice ticketing marketing and experience technology platform that serves a consumers and event creators in nearly 180 countries Since inception Eventbrite has been at the center of the experience economy transforming the way people organize and attend events With over 280 million tickets distributed for over 5 million total events in 2022 Eventbrite is where people all over the world discover new things to do or new ways to do more of what they love Learn more at wwweventbritecomIS THIS ROLE NOT AN EXACT FIT Sign up to keep in touch and well let you know when we have new positions on our team Eventbrite is committed to equality of opportunity for all staff and applications from all suitably qualified individuals are encouraged regardless of age disability sex gender reassignment sexual orientation pregnancy and maternity race religion or belief and marriage and civil partnerships LIREMOTE Applicant Privacy Notice,2023-06-21,Canada,2023-06-21 12:52:50.207229
Crypto Full-Stack Developer Intern (Remote),https://tryremotely.com/remote-jobs/token-metrics-crypto-full-stack-developer-intern-remote-25605,Token Metrics is looking for a highly skilled computer programmer who is comfortable with both front and back end programming Full stack developers are responsible for developing and designing front end web architecture ensuring the responsiveness of applications and working alongside graphic designers for web design features among other duties Full stack developers will be required to see out a project from conception to final product requiring good organizational skills and attention to detail The duration of the Token Metrics internship program is 3 months It is an evaluative unpaid internship with the possibility of return offers depending on the companys needs Responsibilities Developing front end website architecture Designing user interactions on web pages Developing backend website applications Creating servers and databases for functionality Ensuring crossplatform optimization for mobile phones Ensuring responsiveness of applications Working alongside graphic designers for web design features Seeing through a project from conception to finished product Designing and developing APIs Meeting both technical and consumer needs Staying abreast of developments in web applications and programming languages Requirements Degree in computer science Strong organizational and project management skills Proficiency with fundamental frontend languages such as HTML CSS and JavaScript Familiarity with JavaScript frameworks such as Angular JS React and Amber Proficiency with serverside languages such as Python Ruby Java PHP and Net Familiarity with database technology such as MySQL Oracle and MongoDB Excellent verbal communication skills Good problemsolving skills Attention to detail Additional Information About Token Metrics Token Metrics helps crypto investors build profitable portfolios using artificial intelligence based crypto indices rankings and price predictions Token Metrics has a diverse set of customers from retail investors and traders to crypto fund managers in more than 50 countries,2023-06-21,India,2023-06-21 12:52:59.749474
Solutions Architect (East),https://tryremotely.com/remote-jobs/gitlab-solutions-architect-east-25604,The GitLab DevSecOps platform empowers 100000 organizations to deliver software faster and more efficiently We are one of the worlds largest allremote companies with 2000 team members and values that foster a culture where people embrace the belief that everyone can contribute Learn more about Life at GitLab We are hiring a Solutions Architect to join our Enterprise team in North America East As a Solutions Architect you will act as a trusted advisor to GitLab prospects and clients and show how the GitLab solutions address client business requirements You are responsible for driving and managing the technology and value evaluation and validation stages of the sales process As a product advocate for GitLabs Enterprise Edition you will focus on the technical solution while also understanding the business outcomes the customer wants to achieve To learn more please see the Solutions Architect handbook What youll do Engage with customers both onsite and remote in a technical consultancy and advisor role during the presales process while providing technical assistance and solution guidance In partnership with the sales team formulate and execute a sales strategy to exceed revenue targets through the adoption of GitLab With comprehensive knowledge of the GitLab platform and associated technologies educate customers of all sizes on the value proposition of GitLab while participating in discussions throughout the organization to ensure successful GitLab deployment Guide technical evaluations via POCPOV ownership RFPaudit support and workshop design Build deep relationships with people within customer environments to enable them to be GitLab advocates Serve as the customer advocate to other GitLab teams including Product Development Sales and Marketing Continuously improve your professional skills with a focus on personal mastery and team learning through activities such as training reading and seeking mentorship from others Maintain specialty competency in one or more technologies related to GitLabs market focus through activities such as training certification and creation of working examples for reuse internally and by customers and partners Although GitLab is an allremote company as a customerfacing team travel will be part of your role see also our companys travel policy What youll bring Experience with technical presales Knowledge of the endtoend software development lifecycle Understanding of continuous integration and continuous deployment Experience with modern software development or operations and their associated technologies Experience with cloud computing and related technologies and practices How GitLab will support you Benefits to support your health finances and wellbeing All remote asynchronous work environment Unlimited PTO paid time off Team Member Resource Groups Equity Compensation  Employee Stock Purchase Plan Growth and development budget Parental leave Home office support Hiring process Selected candidates will be invited to schedule a screening call with one of our Global Recruiters Next candidates will be invited to schedule a first interview with the SA team Manager Candidates may be invited to schedule an interview with a Solutions Architect peer or other SA team Manager Then candidates will be required to deliver a demo of GitLab to a panel of Customer Success attendees using the Demo Guide Candidates may be invited to additional interviews Successful candidates will be made an offer after references are verified Please note that we welcome interest from candidates with varying levels of experience many successful candidates do not meet every single requirement Additionally studies have shown that people from underrepresented groups are less likely to apply to a job unless they meet every single qualification If youre excited about this role please apply and allow our recruiters to assess your application LIDNI The base salary range for this roles listed level is currently for residents of listed locations only Grade level and salary ranges are determined through interviews and a review of education experience knowledge skills abilities of the applicant equity with other team members and alignment with market data See more information on our benefits and equity Sales roles are also eligible for incentive pay targeted at up to 100 of the offered base salary ColoradoWashington pay range 90300 174100 USD CaliforniaNew YorkNew Jersey pay range 90300 193500 USD Country Hiring Guidelines GitLab hires new team members in countries around the world All of our roles are remote however some roles may carry specific locationbased eligibility requirements Our Talent Acquisition team can help answer any questions about location after starting the recruiting process Privacy Policy Please review our Recruitment Privacy Policy Your privacy is important to us GitLab is proud to be an equal opportunity workplace and is an affirmative action employer GitLabs policies and practices relating to recruitment employment career development and advancement promotion and retirement are based solely on merit regardless of race color religion ancestry sex including pregnancy lactation sexual orientation gender identity or gender expression national origin age citizenship marital status mental or physical disability genetic information including family medical history discharge status from the military protected veteran status which includes disabled veterans recently separated veterans active duty wartime or campaign badge veterans and Armed Forces service medal veterans or any other basis protected by law GitLab will not tolerate discrimination or harassment based on any of these characteristics See also GitLabs EEO Policy and EEO is the Law If you have a disability or special need that requires accommodation please let us know during the recruiting process,2023-06-21,United States Canada,2023-06-21 12:53:17.645565
Customer Success Manager (Scale),https://tryremotely.com/remote-jobs/gradle-customer-success-manager-scale-25603,At Gradle Inc our purpose is to bring joy to software builders and value to the business professionals that use it We are the company behind the Gradle Build Tool which is one of the top 20 Most Popular Open Source Projects for IT used by millions of developers and is downloaded almost 30 million times a month Our commercial product Gradle Enterprise has set new standards in software development and is used at companies like LinkedIn Google Netflix SAP and most valuable technology and Global 1000 companies from around the world As such Gradle is one of the fastestgrowing startup ventures based in Silicon Valley We achieved our Series C funding in December of 2021 and are moving into a period of rapid growth Gradle is one of the original remotefirst organizations  we were founded back in 2008 by two engineers living on opposite sides of the world Today the Gradle workforce includes employees in 27 countries and 5 continents Ensuring a diverse and inclusive environment where we learn from each other is important to our values and culture We welcome all people of diverse backgrounds experiences abilities and perspectives About this role Customer Success Managers CSMs focus on proactively maximizing product success within an assigned portfolio of Gradle Enterprise customers At Gradle Inc we highly prize our amazing portfolio of customers and you will be integral in keeping them successful and retaining strong relationships As a CSM you will speak directly to each customer on a regularly scheduled cadence checking in on key metrics of customer health including adoption by various user personas overall build performance health and usage of product features to accomplish business objectives You will prescribe and assist in developing playbooks based on a customers stage and maturity with Gradle Enterprise and the discipline of Developer Productivity Engineering DPE You will be responsible for moving customers through the DPE lifecycle maturity model from onboarding handoff from sales through full DPE maturity Your goal is to not only retain the business of existing customers but to proactively ensure Gradle Enterprise customers are wildly successful with the product and in implementing the discipline of DPE Responsibilities Speak with customers on regularly scheduled meetings Manually monitor and update key metrics of health Support Solutions Engineering with proactively detecting issues with customers and prescribing solutions Continually educate customers on product features Manage Slack and email communication Project manage implementation and usage of new Gradle Enterprise features and extensions Support sales with renewal and product extension opportunities Minimum Qualifications 5 years of experience as a Customer Success Manager or similar in a complex technology vertical Experience managing a highvolume book of business above 100 accounts Experience in a rapidly changing  dynamic startup environment Strong technical acumen ability to learn and distill complex subjects Excellent verbal communication skills Preferred Qualifications Strong experience in remote collaboration with a global team and customer base Prior work experience interacting with developers and engineering leadership in the dev tools space is a major plus What We Offer Ability to work from any place in the world in a remotefirst environment with flexible working hours Work on a fastgrowing product with a clear vision for the future Close collaboration with an ambitious and experienced team and the opportunity to learn from them regardless of your experience level Opportunities for growth in your career and in leadership responsibilities Inperson meetings such as our annual company offsite where previous locations have included France Spain and Italy team meetings and onboardings Contribute to leading solutions in the new industry of Developer Productivity Engineering and work with cuttingedge DPE tools and practices Competitive salaries and equity grants Compensation We offer competitive salaries and equity grants to all team members The US salary range for this position is 110140k reflecting the target ranges for all US locations Within this range individual pay is determined by geographic location and additional factors including but not limited to experience relevant skills qualifications seniority performance and travel requirements Our recruiting team can share more information about the specific salary range for your location during the hiring process Benefits  Perks A focus on learning and development  Gradle offers an annual LD stipend and a monthly companywide Learning Day Home office stipend to make sure you are fully set up to work remotely Generous Paid Time Off Paid public holidays Volunteer Day  Giving back to the community has always been a priority at Gradle so we offer up to 8 hours of paid work time each year for team members to give back to their local communities US Competitive healthcare offerings with multiple options covered at 100 for team members only shortterm and longterm disability coverage and employerpaid life insurance coverage Location Remote from US ideally MSTCST timezones While our team works remotely and is spread across the globe we deeply value daily interactions and collaboration About us Visit our careers page to learn more about the company and see other open positions We are committed and skilled software engineers product designers and marketing experts who are passionate about developer productivity We take pride in delivering products that are relied upon daily by some of the worlds leading software organizations such as Netflix LinkedIn Airbnb Spotify Twitter and Atlassian Our team is globally distributed but deeply connected We value our interpersonal relationships as much as we value our achievements We are a diverse and inclusive workplace where we learn from each other and together We welcome people of different backgrounds experiences abilities and perspectives Privacy Notice For information about our collection use and disclosure of applicants personal information as well as applicants rights over their personal information please see our Job Applicant Privacy Notice,2023-06-21,United States,2023-06-21 12:53:30.228849
"Area Sales Manager (Enterprise), ASEAN",https://tryremotely.com/remote-jobs/gitlab-area-sales-manager-enterprise-asean-25602,The GitLab DevSecOps platform empowers 100000 organizations to deliver software faster and more efficiently We are one of the worlds largest allremote companies with 2000 team members and values that foster a culture where people embrace the belief that everyone can contribute Learn more about Life at GitLab Area Sales Manager Enterprise ASEAN This position is remote based in Singapore and candidates must be a Citizen or Permanent Resident of Singapore We are looking for Area Sales Managers ASM in all of our territory selling markets in ASEAN This is a leadership role and as the ASM for ASEAN you will lead a dynamic sales team and help GitLab surpass our growth goals Reporting to the VP of Sales you will be responsible for hiring developing and leading a highperforming team of Strategic Account Leaders to meet and exceed sales goals The right candidate is truly passionate about open source software and has a proven track record to talk about This is an exciting opportunity to unequivocally influence GitLabs overall success and growth Responsibilities Drives manages and executes the business and revenue of a sales team Analyzes market dynamics in an effort to maximize existing successes and to create new sales growth opportunities Prepares forecasts territoryindustry management and growth plans Educates team on significant industry factors including competitive products regulations trends customer needs and pricing Establishes and reports on metrics to measure team performance correct deficiencies where necessary Ensures that the sales plan is aligned with and supports the corporate revenue goal Manages a team of 510 Strategic Account Leaders fosters a successful and positive team environment Requirements 10 years experience in field sales operations and leadership in open source software or software DevOps environment Experience selling to Fortune 500 willingness to roll up your sleeves and sell Proven track record of meeting or exceeding performance objectives revenue targets pipeline targets etc Experience utilizing CRM systems and marketing automation systems such as Salesforce Clari Marketo etc Ability to exercise effective judgment sensitivity creativity to changing needs and situations ability to handle a fastpaced environment and challenging workload Strong relationship building and negotiation skills Strong presentation skills Executive level communication skills both written and verbal and the ability to mentor others Ability to travel as needed You share our values and work in accordance with those values Leadership at GitLab Compensation To view the full job description and its compensation calculator view our handbook The compensation calculator can be found towards the bottom of the page Additional details about our process can be found on our hiring page Country Hiring Guidelines GitLab hires new team members in countries around the world All of our roles are remote however some roles may carry specific locationbased eligibility requirements Our Talent Acquisition team can help answer any questions about location after starting the recruiting process Privacy Policy Please review our Recruitment Privacy Policy Your privacy is important to us GitLab is proud to be an equal opportunity workplace and is an affirmative action employer GitLabs policies and practices relating to recruitment employment career development and advancement promotion and retirement are based solely on merit regardless of race color religion ancestry sex including pregnancy lactation sexual orientation gender identity or gender expression national origin age citizenship marital status mental or physical disability genetic information including family medical history discharge status from the military protected veteran status which includes disabled veterans recently separated veterans active duty wartime or campaign badge veterans and Armed Forces service medal veterans or any other basis protected by law GitLab will not tolerate discrimination or harassment based on any of these characteristics See also GitLabs EEO Policy and EEO is the Law If you have a disability or special need that requires accommodation please let us know during the recruiting process,2023-06-21,Remote Apac,2023-06-21 12:53:36.873891
