title,link,description,pubdate,location,timestamp
Senior Backend Engineer,https://app.remotesome.com/jobs/ca005b96-2462-11ed-9ff0-06e2d80b3260,"Solidants mission is to provide cutting-edge blockchain solutions tailored to your specific needs, developed and supported by a team of professionals with years of experience.We strive to stay at the very front by investing in research, innovation and development of new leading-edge solutions.Solidant is a remote company in spirit. We have 13 team members spanning through multiple companies and continents. We dont care where you are located. Primarily we want to build our team consisting of talented individuals with a high level of independence and hunger to learn and work on interesting projects.",2023-08-13,Worldwide,2023-08-13 11:01:44.437171
Creative Director,https://app.remotesome.com/jobs/4c3378c6-2bb7-11ee-8ff9-06e2d80b3260,BitStarz was the first multi-currency online casino to offer play in major international currencies such as Dollars and Euros as well as Bitcoin and other Cryptocurrencies. Growing since 2014 its one of the leading providers of gaming fun. As the team is expanding were looking for developers who share ourpassion for casino video games to join our team.,2023-08-13,UTC+0 UTC+3,2023-08-13 11:01:44.475394
Creative Designer,https://app.remotesome.com/jobs/e88e6a54-2bb3-11ee-aa04-06e2d80b3260,BitStarz was the first multi-currency online casino to offer play in major international currencies such as Dollars and Euros as well as Bitcoin and other Cryptocurrencies. Growing since 2014 its one of the leading providers of gaming fun. As the team is expanding were looking for developers who share ourpassion for casino video games to join our team.,2023-08-13,UTC+0 UTC+2,2023-08-13 11:01:44.505656
Social Media Marketing Manager,https://app.remotesome.com/jobs/3a61f3bc-2bac-11ee-b51e-06e2d80b3260,BitStarz was the first multi-currency online casino to offer play in major international currencies such as Dollars and Euros as well as Bitcoin and other Cryptocurrencies. Growing since 2014 its one of the leading providers of gaming fun. As the team is expanding were looking for developers who share ourpassion for casino video games to join our team.,2023-08-13,UTC+0 UTC+2,2023-08-13 11:01:44.536503
DevOps Engineer,https://app.remotesome.com/jobs/40bdc246-fbcc-11ed-9d7f-06e2d80b3260,We help improve peoples lives through the content we produce and distribute for free!We have more than 60 products that deliver content to more than 200 million visitors per month. We are one of Portugal’s and Latin America’s largest Content Publishers that everyday helps improve people’s life by creating and distributing free content.,2023-08-13,UTC-4 UTC+0,2023-08-13 11:01:44.564669
Senior Frontend Engineer,https://app.remotesome.com/jobs/99878f3e-cc87-11ed-84a7-06e2d80b3260,"PhotoRoom develops cutting-edge technology that empowers entrepreneurs, small businesses, and merchants to easily create images that sell - leveraging deep learning. Our ambition: power the internet’s commerce images.Our first consumer product, the PhotoRoom app, is already a leader in mobile photo editing: we serve 10M+ users across more than 180 countries monthly, and our app was awarded the Best App of 2021 by Android and named Editor’s Choice by Apple. We recently launched our second product, the API, allowing us to deploy our tech at scale through a b-to-b motion.We are at an exciting stage of our journey, having successfully raised our Series A and looking to scale to $100M ARR in the next couple of years.",2023-08-13,UTC+0 UTC+4,2023-08-13 11:01:44.596852
Node.js Technical Interviewer (Part Time),https://app.remotesome.com/jobs/a2e2381e-c9a2-11ed-bf01-06e2d80b3260,"Talent is everywhere. Opportunities are not.At Remotesome, we are on a mission to help thousands of engineers around the world find their next full-time remote job.Through a unique vetting process, we are helping engineers showcase their skills so we can recommend them to emerging and promising companies around the world.We have numerous appraisals of engineers for which we have found life-changing jobs as well as happy companies who couldn’t believe how many great engineers we help them bring on board.We are looking for a software engineer with technical interviewing or screening experience to join our team and help us with vetting software engineers.&nbsp;",2023-08-13,UTC-8 UTC+6,2023-08-13 11:01:44.695076
Frontend Engineer,https://app.remotesome.com/jobs/f158b164-c950-11ed-90af-06e2d80b3260,"ESG Flo automates ESG data aggregation to a centralized data repository enabling expedited report generation, freeing up the sustainability team’s time to focus on the right value-added activities.Sustainability will be one of most important things in the future and ESG Flo helps companies track that. We are a startup in the early stage on the trajectory of high-growth.Join us on our mission to make a great impact on sustainability. ",2023-08-13,UTC+0 UTC+6,2023-08-13 11:01:44.723758
Backend Engineer,https://app.remotesome.com/jobs/158bb506-c8aa-11ed-a229-06e2d80b3260,"ESG Flo automates ESG data aggregation to a centralized data repository enabling expedited report generation, freeing up the sustainability team’s time to focus on the right value-added activities.Sustainability will be one of most important things in the future and ESG Flo helps companies track that. We are a startup in the early stage on the trajectory of high-growth.Join us on our mission to make a great impact on sustainability. ",2023-08-13,UTC+0 UTC+6,2023-08-13 11:01:44.750390
UI/UX Designer,https://app.remotesome.com/jobs/7f2e8df4-c250-11ed-b586-06e2d80b3260,We are improving lives of gamers by unlocking the potential of in-game assets through the power of blockchain and NFTs. Join us on our mission to empower million gamers around the world.,2023-08-13,UTC+0 UTC+4,2023-08-13 11:01:44.776717
